Sample,Total Reads Number,Median Read Length,Log(total Reads Number) * Median Read Length,False Negatives
ES-cDNA-ONT,15391465,11164,80238.79346324218,12
ES-cDNA-ONT-LS,15391465,11164,80238.79346324218,12
ES-cDNA-PacBio,2526806,31622.6,202465.97014826993,2
ES-cDNA-PacBio-LS,2526806,31622.6,202465.97014826993,2
ES-dRNA-ONT,958946,12671.7,75799.50095518946,10
ES-dRNA-ONT-LS,958946,12671.7,75799.50095518946,13
WTC11-cDNA-ONT,16644242,12287.8,88733.44804484578,12
WTC11-cDNA-ONT-LS,16644242,12287.8,88733.44804484578,12
WTC11-cDNA-PacBio,2620316,33697.7,216283.7564,4
WTC11-cDNA-PacBio-LS,2620316,33697.7,216283.7564,4
WTC11-dRNA-ONT,758495,11792.5,69339.34247727948,5
WTC11-dRNA-ONT-LS,758495,11792.5,69339.34247727948,4
