figure_id	Species	Group	PlotGroup	median_value	log_median_value
fig-1d	Human	TUSCO	Human_TUSCO	13.0375	1.1151976525396
fig-1d	Human	TUSCO	Human_TUSCO	9.46378	0.976069224892461
fig-1d	Human	TUSCO	Human_TUSCO	14.7361	1.16838550714613
fig-1d	Human	TUSCO	Human_TUSCO	25.3914	1.40468835752912
fig-1d	Human	TUSCO	Human_TUSCO	7.12093	0.852542815401453
fig-1d	Human	TUSCO	Human_TUSCO	4.27257	0.630699351344357
fig-1d	Human	TUSCO	Human_TUSCO	23.5265	1.37155916865794
fig-1d	Human	TUSCO	Human_TUSCO	2.45669	0.390368035707213
fig-1d	Human	TUSCO	Human_TUSCO	34.93795	1.54329866201289
fig-1d	Human	TUSCO	Human_TUSCO	14.9484	1.1745976157771
fig-1d	Human	TUSCO	Human_TUSCO	4.02057	0.604298429466923
fig-1d	Human	TUSCO	Human_TUSCO	21.7096	1.33665382210736
fig-1d	Human	TUSCO	Human_TUSCO	55.48015	1.74413840938351
fig-1d	Human	TUSCO	Human_TUSCO	3.54125	0.549168851230578
fig-1d	Human	TUSCO	Human_TUSCO	2.69429	0.430460457975405
fig-1d	Human	TUSCO	Human_TUSCO	21.4725	1.33188463396992
fig-1d	Human	TUSCO	Human_TUSCO	150.394	2.17723079910334
fig-1d	Human	TUSCO	Human_TUSCO	99.5748	1.99814987893304
fig-1d	Human	TUSCO	Human_TUSCO	26.90045	1.42976115953859
fig-1d	Human	TUSCO	Human_TUSCO	197.2565	2.29503154316474
fig-1d	Human	TUSCO	Human_TUSCO	21.2408	1.32717291432812
fig-1d	Human	TUSCO	Human_TUSCO	6.38091	0.804889425227534
fig-1d	Human	TUSCO	Human_TUSCO	12.0493	1.08096542175099
fig-1d	Human	TUSCO	Human_TUSCO	11.99	1.07882280522288
fig-1d	Human	TUSCO	Human_TUSCO	10.7889	1.03298119309737
fig-1d	Human	TUSCO	Human_TUSCO	46.7495	1.66977789930402
fig-1d	Human	TUSCO	Human_TUSCO	181.115	2.25795465999544
fig-1d	Human	TUSCO	Human_TUSCO	15.0515	1.1775826683177
fig-1d	Human	TUSCO	Human_TUSCO	121.871	2.08590073106081
fig-1d	Human	TUSCO	Human_TUSCO	24.4802	1.38881673567721
fig-1d	Human	TUSCO	Human_TUSCO	4.23357	0.626717003243048
fig-1d	Human	TUSCO	Human_TUSCO	6.89169	0.838332035573627
fig-1d	Human	TUSCO	Human_TUSCO	6.372005	0.804282923523458
fig-1d	Human	TUSCO	Human_TUSCO	57.7918	1.7618669728182
fig-1d	Human	TUSCO	Human_TUSCO	42.79505	1.63139455294802
fig-1d	Human	TUSCO	Human_TUSCO	15.6918	1.19567553183154
fig-1d	Human	TUSCO	Human_TUSCO	1.37557	0.138514266481368
fig-1d	Human	TUSCO	Human_TUSCO	5.77391	0.761477531699371
fig-1d	Human	TUSCO	Human_TUSCO	219.989	2.34240116297163
fig-1d	Human	TUSCO	Human_TUSCO	4.58923	0.661749287162131
fig-1d	Human	TUSCO	Human_TUSCO	26.5304	1.42374543487471
fig-1d	Human	TUSCO	Human_TUSCO	16.8714	1.22715369626802
fig-1d	Human	TUSCO	Human_TUSCO	23.50245	1.37111498528655
fig-1d	Human	TUSCO	Human_TUSCO	20.0654	1.30244998612495
fig-1d	Human	TUSCO	Human_TUSCO	75.0055	1.87509368950246
fig-1d	Human	TUSCO	Human_TUSCO	3.22894	0.509073424909289
fig-1d	Human	TUSCO	Human_TUSCO	5.826	0.765377934647205
fig-1d	Human	TUSCO	Human_TUSCO	1.61834	0.209096603552047
fig-1d	Mouse	TUSCO	Mouse_TUSCO	8.055	0.906070936335449
fig-1d	Mouse	TUSCO	Mouse_TUSCO	3.34	0.523759469445715
fig-1d	Mouse	TUSCO	Mouse_TUSCO	2.4	0.380229336938037
fig-1d	Mouse	TUSCO	Mouse_TUSCO	18.1	1.25768097427958
fig-1d	Mouse	TUSCO	Mouse_TUSCO	8	0.903095415639038
fig-1d	Mouse	TUSCO	Mouse_TUSCO	42.665	1.63007276788492
fig-1d	Mouse	TUSCO	Mouse_TUSCO	8.61	0.935008195495001
fig-1d	Mouse	TUSCO	Mouse_TUSCO	17.77	1.24968987177413
fig-1d	Mouse	TUSCO	Mouse_TUSCO	17.42	1.24105064374418
fig-1d	Mouse	TUSCO	Mouse_TUSCO	1.02	0.00864274756528515
fig-1d	Mouse	TUSCO	Mouse_TUSCO	19.135	1.28183073618867
fig-1d	Mouse	TUSCO	Mouse_TUSCO	4.48	0.65128770796321
fig-1d	Mouse	TUSCO	Mouse_TUSCO	1.395	0.144605338714744
fig-1d	Mouse	TUSCO	Mouse_TUSCO	4.365	0.639994197400288
fig-1d	Mouse	TUSCO	Mouse_TUSCO	80.7	1.90687407288095
fig-1d	Mouse	TUSCO	Mouse_TUSCO	13.895	1.14286167664717
fig-1d	Mouse	TUSCO	Mouse_TUSCO	0.155	-0.809388202186395
fig-1d	Mouse	TUSCO	Mouse_TUSCO	15.13	1.17984179843328
fig-1d	Mouse	TUSCO	Mouse_TUSCO	0.94	-0.0268259473170278
fig-1d	Mouse	TUSCO	Mouse_TUSCO	38.965	1.59067579514963
fig-1d	Mouse	TUSCO	Mouse_TUSCO	2.305	0.362689770726165
fig-1d	Mouse	TUSCO	Mouse_TUSCO	2.03	0.307517431203131
fig-1d	Mouse	TUSCO	Mouse_TUSCO	78.775	1.89638896315572
fig-1d	Mouse	TUSCO	Mouse_TUSCO	1.605	0.205502094744196
fig-1d	Mouse	TUSCO	Mouse_TUSCO	3.805	0.580366074740629
fig-1d	Mouse	TUSCO	Mouse_TUSCO	34.27	1.53491537170109
fig-1d	Mouse	TUSCO	Mouse_TUSCO	120.67	2.0815996726354
fig-1d	Mouse	TUSCO	Mouse_TUSCO	3.145	0.497634458607282
fig-1d	Mouse	TUSCO	Mouse_TUSCO	3.43	0.535306781504905
fig-1d	Mouse	TUSCO	Mouse_TUSCO	3.2	0.505163549810412
fig-1d	Mouse	TUSCO	Mouse_TUSCO	4.155	0.618581480328453
fig-1d	Mouse	TUSCO	Mouse_TUSCO	3.375	0.52828664496106
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	162.473	2.21078146692337
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	27.85825	1.44495539036807
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	8.2394525	0.91590362528229
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	954.9675	2.97998863715452
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	8.72515	0.940777879420903
