big_category	final_label	count	percentage	Type	pipeline	figure_id	panel_id	record_type	metric	sirv	tusco
FP	NIC	2	2.3255813953488373	SIRVs	WTC11_drna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
TP	RM	75	87.20930232558139	SIRVs	WTC11_drna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
FN	Missing	9	10.465116279069768	SIRVs	WTC11_drna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
PTP	Alternative 3'end	3	6.25	TUSCO	WTC11_drna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
TP	RM	34	70.83333333333334	TUSCO	WTC11_drna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
FN	Missing	11	22.916666666666664	TUSCO	WTC11_drna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
FP	Antisense	4	3.669724770642202	SIRVs	WTC11_cdna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
FP	NIC	19	17.431192660550458	SIRVs	WTC11_cdna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
FP	NNC	1	0.9174311926605505	SIRVs	WTC11_cdna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
PTP	Alternative 3'5'end	2	1.834862385321101	SIRVs	WTC11_cdna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
PTP	Alternative 3'end	2	1.834862385321101	SIRVs	WTC11_cdna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
PTP	Alternative 5'end	1	0.9174311926605505	SIRVs	WTC11_cdna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
TP	RM	76	69.72477064220183	SIRVs	WTC11_cdna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
FN	Missing	4	3.669724770642202	SIRVs	WTC11_cdna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
FP	NIC	1	1.6666666666666667	TUSCO	WTC11_cdna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
PTP	Alternative 3'5'end	11	18.333333333333332	TUSCO	WTC11_cdna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
PTP	Alternative 5'end	6	10	TUSCO	WTC11_cdna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
PTP	ISM	5	8.333333333333332	TUSCO	WTC11_cdna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
TP	RM	22	36.666666666666664	TUSCO	WTC11_cdna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
FN	Missing	15	25	TUSCO	WTC11_cdna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
TP	RM	84	100	SIRVs	WTC11_cdna_pacbio	fig-3	3a-human	bar_distribution	NA	NA	NA
FN	Missing	0	0	SIRVs	WTC11_cdna_pacbio	fig-3	3a-human	bar_distribution	NA	NA	NA
FP	NIC	1	1.9230769230769231	TUSCO	WTC11_cdna_pacbio	fig-3	3a-human	bar_distribution	NA	NA	NA
TP	RM	43	82.6923076923077	TUSCO	WTC11_cdna_pacbio	fig-3	3a-human	bar_distribution	NA	NA	NA
FN	Missing	8	15.384615384615385	TUSCO	WTC11_cdna_pacbio	fig-3	3a-human	bar_distribution	NA	NA	NA
FP	NIC	2	2.3255813953488373	SIRVs	WTC11_drna_ont_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
TP	RM	75	87.20930232558139	SIRVs	WTC11_drna_ont_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
FN	Missing	9	10.465116279069768	SIRVs	WTC11_drna_ont_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
PTP	Alternative 3'end	3	5.88235294117647	TUSCO	WTC11_drna_ont_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
TP	RM	38	74.50980392156863	TUSCO	WTC11_drna_ont_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
FN	Missing	10	19.607843137254903	TUSCO	WTC11_drna_ont_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
FP	Antisense	4	3.669724770642202	SIRVs	WTC11_cdna_ont_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
FP	NIC	18	16.51376146788991	SIRVs	WTC11_cdna_ont_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
FP	NNC	2	1.834862385321101	SIRVs	WTC11_cdna_ont_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
PTP	Alternative 3'5'end	2	1.834862385321101	SIRVs	WTC11_cdna_ont_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
PTP	Alternative 3'end	2	1.834862385321101	SIRVs	WTC11_cdna_ont_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
PTP	Alternative 5'end	1	0.9174311926605505	SIRVs	WTC11_cdna_ont_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
TP	RM	76	69.72477064220183	SIRVs	WTC11_cdna_ont_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
