big_category	final_label	count	percentage	Type	pipeline	figure_id	panel_id	record_type	metric	sirv	tusco
FP	NIC	2	2.3255813953488373	SIRVs	WTC11_drna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
TP	RM	75	87.20930232558139	SIRVs	WTC11_drna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
FN	Missing	9	10.465116279069768	SIRVs	WTC11_drna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
PTP	Alternative 3'end	3	5.084745762711865	TUSCO	WTC11_drna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
PTP	ISM	2	3.389830508474576	TUSCO	WTC11_drna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
TP	RM	39	66.10169491525424	TUSCO	WTC11_drna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
FN	Missing	15	25.423728813559322	TUSCO	WTC11_drna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
FP	Antisense	4	3.669724770642202	SIRVs	WTC11_cdna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
FP	NIC	19	17.431192660550458	SIRVs	WTC11_cdna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
FP	NNC	1	0.9174311926605505	SIRVs	WTC11_cdna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
PTP	Alternative 3'5'end	2	1.834862385321101	SIRVs	WTC11_cdna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
PTP	Alternative 3'end	2	1.834862385321101	SIRVs	WTC11_cdna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
PTP	Alternative 5'end	1	0.9174311926605505	SIRVs	WTC11_cdna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
TP	RM	76	69.72477064220183	SIRVs	WTC11_cdna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
FN	Missing	4	3.669724770642202	SIRVs	WTC11_cdna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
FP	NIC	1	1.3333333333333335	TUSCO	WTC11_cdna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
PTP	Alternative 3'5'end	12	16	TUSCO	WTC11_cdna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
PTP	Alternative 5'end	6	8	TUSCO	WTC11_cdna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
PTP	ISM	10	13.333333333333334	TUSCO	WTC11_cdna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
TP	RM	30	40	TUSCO	WTC11_cdna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
FN	Missing	16	21.333333333333336	TUSCO	WTC11_cdna_ont	fig-3	3a-human	bar_distribution	NA	NA	NA
TP	RM	84	100	SIRVs	WTC11_cdna_pacbio	fig-3	3a-human	bar_distribution	NA	NA	NA
FN	Missing	0	0	SIRVs	WTC11_cdna_pacbio	fig-3	3a-human	bar_distribution	NA	NA	NA
FP	NIC	1	1.5384615384615385	TUSCO	WTC11_cdna_pacbio	fig-3	3a-human	bar_distribution	NA	NA	NA
PTP	Alternative 3'5'end	3	4.615384615384616	TUSCO	WTC11_cdna_pacbio	fig-3	3a-human	bar_distribution	NA	NA	NA
TP	RM	54	83.07692307692308	TUSCO	WTC11_cdna_pacbio	fig-3	3a-human	bar_distribution	NA	NA	NA
FN	Missing	7	10.76923076923077	TUSCO	WTC11_cdna_pacbio	fig-3	3a-human	bar_distribution	NA	NA	NA
FP	NIC	2	2.3255813953488373	SIRVs	WTC11_drna_ont_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
TP	RM	75	87.20930232558139	SIRVs	WTC11_drna_ont_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
FN	Missing	9	10.465116279069768	SIRVs	WTC11_drna_ont_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
PTP	Alternative 3'5'end	1	1.6129032258064515	TUSCO	WTC11_drna_ont_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
PTP	Alternative 3'end	3	4.838709677419355	TUSCO	WTC11_drna_ont_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
PTP	ISM	1	1.6129032258064515	TUSCO	WTC11_drna_ont_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
TP	RM	43	69.35483870967742	TUSCO	WTC11_drna_ont_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
FN	Missing	14	22.58064516129032	TUSCO	WTC11_drna_ont_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
FP	Antisense	4	3.669724770642202	SIRVs	WTC11_cdna_ont_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
FP	NIC	18	16.51376146788991	SIRVs	WTC11_cdna_ont_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
FP	NNC	2	1.834862385321101	SIRVs	WTC11_cdna_ont_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
