big_category	final_label	count	percentage	Type	pipeline	figure_id	panel_id	record_type	metric	sirv	tusco
FP	NIC	2	2.3255813953488373	SIRVs	es_drna_ont	fig-3	3a-mouse	bar_distribution	NA	NA	NA
TP	RM	76	88.37209302325581	SIRVs	es_drna_ont	fig-3	3a-mouse	bar_distribution	NA	NA	NA
FN	Missing	8	9.30232558139535	SIRVs	es_drna_ont	fig-3	3a-mouse	bar_distribution	NA	NA	NA
FP	Genic Genomic	1	2.7777777777777777	TUSCO	es_drna_ont	fig-3	3a-mouse	bar_distribution	NA	NA	NA
PTP	ISM	4	11.11111111111111	TUSCO	es_drna_ont	fig-3	3a-mouse	bar_distribution	NA	NA	NA
TP	RM	21	58.333333333333336	TUSCO	es_drna_ont	fig-3	3a-mouse	bar_distribution	NA	NA	NA
FN	Missing	10	27.77777777777778	TUSCO	es_drna_ont	fig-3	3a-mouse	bar_distribution	NA	NA	NA
FP	Antisense	5	4.807692307692308	SIRVs	es_cdna_ont	fig-3	3a-mouse	bar_distribution	NA	NA	NA
FP	NIC	13	12.5	SIRVs	es_cdna_ont	fig-3	3a-mouse	bar_distribution	NA	NA	NA
PTP	Alternative 3'5'end	2	1.9230769230769231	SIRVs	es_cdna_ont	fig-3	3a-mouse	bar_distribution	NA	NA	NA
PTP	Alternative 3'end	3	2.8846153846153846	SIRVs	es_cdna_ont	fig-3	3a-mouse	bar_distribution	NA	NA	NA
PTP	Alternative 5'end	2	1.9230769230769231	SIRVs	es_cdna_ont	fig-3	3a-mouse	bar_distribution	NA	NA	NA
TP	RM	75	72.11538461538461	SIRVs	es_cdna_ont	fig-3	3a-mouse	bar_distribution	NA	NA	NA
FN	Missing	4	3.8461538461538463	SIRVs	es_cdna_ont	fig-3	3a-mouse	bar_distribution	NA	NA	NA
FP	NIC	5	10.204081632653061	TUSCO	es_cdna_ont	fig-3	3a-mouse	bar_distribution	NA	NA	NA
PTP	Alternative 3'5'end	6	12.244897959183673	TUSCO	es_cdna_ont	fig-3	3a-mouse	bar_distribution	NA	NA	NA
PTP	Alternative 5'end	1	2.0408163265306123	TUSCO	es_cdna_ont	fig-3	3a-mouse	bar_distribution	NA	NA	NA
PTP	ISM	4	8.16326530612245	TUSCO	es_cdna_ont	fig-3	3a-mouse	bar_distribution	NA	NA	NA
TP	RM	24	48.97959183673469	TUSCO	es_cdna_ont	fig-3	3a-mouse	bar_distribution	NA	NA	NA
FN	Missing	9	18.367346938775512	TUSCO	es_cdna_ont	fig-3	3a-mouse	bar_distribution	NA	NA	NA
TP	RM	84	100	SIRVs	es_cdna_pacbio	fig-3	3a-mouse	bar_distribution	NA	NA	NA
FN	Missing	0	0	SIRVs	es_cdna_pacbio	fig-3	3a-mouse	bar_distribution	NA	NA	NA
FP	NIC	3	6.976744186046512	TUSCO	es_cdna_pacbio	fig-3	3a-mouse	bar_distribution	NA	NA	NA
