big_category	count	percentage	Type	pipeline	n	record_type	figure_id	panel_id	mean_perc	sd_perc	test_method	p_value	ci_lower	ci_upper	mean_diff_tusco_minus_sirvs	direction	t_statistic	df	p_value_stars
TP	76	88.37209302325581	SIRVs	ES_drna_ont	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTP	0	0	SIRVs	ES_drna_ont	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FP	2	2.3255813953488373	SIRVs	ES_drna_ont	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN	8	9.30232558139535	SIRVs	ES_drna_ont	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP	21	60	TUSCO	ES_drna_ont	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTP	4	11.428571428571429	TUSCO	ES_drna_ont	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FP	1	2.857142857142857	TUSCO	ES_drna_ont	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN	9	25.714285714285715	TUSCO	ES_drna_ont	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP	75	72.11538461538461	SIRVs	ES_cdna_ont	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTP	7	6.730769230769231	SIRVs	ES_cdna_ont	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FP	18	17.307692307692307	SIRVs	ES_cdna_ont	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN	4	3.8461538461538463	SIRVs	ES_cdna_ont	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP	24	51.06382978723404	TUSCO	ES_cdna_ont	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTP	11	23.404255319148938	TUSCO	ES_cdna_ont	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FP	5	10.638297872340425	TUSCO	ES_cdna_ont	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN	7	14.893617021276595	TUSCO	ES_cdna_ont	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP	84	100	SIRVs	ES_cdna_pacbio	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTP	0	0	SIRVs	ES_cdna_pacbio	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FP	0	0	SIRVs	ES_cdna_pacbio	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN	0	0	SIRVs	ES_cdna_pacbio	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP	34	82.92682926829268	TUSCO	ES_cdna_pacbio	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTP	3	7.317073170731708	TUSCO	ES_cdna_pacbio	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FP	2	4.878048780487805	TUSCO	ES_cdna_pacbio	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN	2	4.878048780487805	TUSCO	ES_cdna_pacbio	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP	76	88.37209302325581	SIRVs	ES_drna_ont_ls	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTP	0	0	SIRVs	ES_drna_ont_ls	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FP	2	2.3255813953488373	SIRVs	ES_drna_ont_ls	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN	8	9.30232558139535	SIRVs	ES_drna_ont_ls	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP	21	60	TUSCO	ES_drna_ont_ls	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTP	4	11.428571428571429	TUSCO	ES_drna_ont_ls	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FP	1	2.857142857142857	TUSCO	ES_drna_ont_ls	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN	9	25.714285714285715	TUSCO	ES_drna_ont_ls	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP	75	77.31958762886597	SIRVs	ES_cdna_ont_ls	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTP	4	4.123711340206185	SIRVs	ES_cdna_ont_ls	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FP	13	13.402061855670103	SIRVs	ES_cdna_ont_ls	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN	5	5.154639175257732	SIRVs	ES_cdna_ont_ls	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP	23	50	TUSCO	ES_cdna_ont_ls	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
