figure_id	pipeline	sample	species	eval_type	status	pipeline_id	pipeline_label	Sn	nrPre	1_red	1_FDR	PDR	rPre
fig-4b	bambu_sq3	wtc11_captrap_pacbio	human	ref	ok	bambu	Bambu	100	95.83333333333334	100	95.83333333333334	100	95.83333333333334
fig-4b	bambu_sq3	wtc11_captrap_pacbio	human	novel	ok	bambu	Bambu	39.130434782608695	25	100	25	52.17391304347826	33.33333333333333
fig-4b	bambu_sq3	wtc11_cdna_pacbio	human	ref	ok	bambu	Bambu	100	100	100	100	100	100
fig-4b	bambu_sq3	wtc11_cdna_pacbio	human	novel	ok	bambu	Bambu	73.91304347826086	41.46341463414634	100	41.463414634146346	78.26086956521739	43.90243902439025
fig-4b	bambu_sq3	wtc11_cdna_ont	human	ref	ok	bambu	Bambu	100	100	100	100	100	100
fig-4b	bambu_sq3	wtc11_cdna_ont	human	novel	ok	bambu	Bambu	39.130434782608695	25.71428571428571	100	25.71428571428571	52.17391304347826	34.285714285714285
fig-4b	bambu_sq3	wtc11_captrap_ont	human	ref	ok	bambu	Bambu	100	100	100	100	100	100
fig-4b	bambu_sq3	wtc11_captrap_ont	human	novel	ok	bambu	Bambu	43.47826086956522	28.57142857142857	100	28.57142857142857	52.17391304347826	34.285714285714285
fig-4b	bambu_sq3	es_captrap_pacbio	mouse	ref	ok	bambu	Bambu	100	96.15384615384616	96.15384615384615	96.15384615384616	100	100
fig-4b	bambu_sq3	es_captrap_pacbio	mouse	novel	ok	bambu	Bambu	52	30.23255813953488	100	30.23255813953488	72	41.86046511627907
fig-4b	bambu_sq3	es_cdna_pacbio	mouse	ref	ok	bambu	Bambu	100	96.15384615384616	100	96.15384615384616	100	96.15384615384616
fig-4b	bambu_sq3	es_cdna_pacbio	mouse	novel	ok	bambu	Bambu	72	37.5	100	37.5	88	45.83333333333333
fig-4b	bambu_sq3	es_cdna_ont	mouse	ref	ok	bambu	Bambu	100	96.15384615384616	96.15384615384615	96.15384615384616	100	100
fig-4b	bambu_sq3	es_cdna_ont	mouse	novel	ok	bambu	Bambu	48	30	100	30.000000000000004	60	37.5
fig-4b	bambu_sq3	es_captrap_ont	mouse	ref	ok	bambu	Bambu	100	96.15384615384616	100	96.15384615384616	100	96.15384615384616
fig-4b	bambu_sq3	es_captrap_ont	mouse	novel	ok	bambu	Bambu	52	31.70731707317073	100	31.707317073170728	64	39.02439024390244
fig-4b	stringtie_sq3	wtc11_captrap_pacbio	human	ref	ok	stringtie2	StringTie2	52.17391304347826	63.1578947368421	100	63.1578947368421	73.91304347826086	89.47368421052632
fig-4b	stringtie_sq3	wtc11_captrap_pacbio	human	novel	ok	stringtie2	StringTie2	30.434782608695656	33.33333333333333	100	33.333333333333336	52.17391304347826	57.14285714285714
fig-4b	stringtie_sq3	wtc11_cdna_pacbio	human	ref	ok	stringtie2	StringTie2	95.65217391304348	95.65217391304348	100	95.65217391304348	95.65217391304348	95.65217391304348
fig-4b	stringtie_sq3	wtc11_cdna_pacbio	human	novel	ok	stringtie2	StringTie2	47.82608695652174	45.83333333333333	100	45.833333333333336	56.52173913043478	54.166666666666664
fig-4b	stringtie_sq3	wtc11_cdna_ont	human	ref	ok	stringtie2	StringTie2	73.91304347826086	60.71428571428571	100	60.71428571428572	91.30434782608695	75
fig-4b	stringtie_sq3	wtc11_cdna_ont	human	novel	ok	stringtie2	StringTie2	43.47826086956522	35.714285714285715	100	35.71428571428571	60.86956521739131	50
