Sample	Tissue	Type	Sn	nrPre	1/red	1-FDR	PDR	rPre
B31.isoforms	Brain	Brain	78.125	69.44444444444444	80	69.44444444444444	87.5	97.22222222222221
B32.isoforms	Brain	Brain	73.4375	64.38356164383562	80.30303030303031	64.38356164383562	82.8125	90.41095890410958
B33.isoforms	Brain	Brain	76.5625	65.33333333333333	76.81159420289856	65.33333333333333	82.8125	92
B34.isoforms	Brain	Brain	67.1875	59.72222222222222	77.61194029850745	59.72222222222222	81.25	93.05555555555556
B35.isoforms	Brain	Brain	70.3125	62.5	79.10447761194031	62.5	82.8125	93.05555555555556
B31.isoforms	Brain	Universal	84.375	71.05263157894737	86.1111111111111	71.05263157894737	96.875	94.73684210526315
B32.isoforms	Brain	Universal	84.375	71.05263157894737	85.71428571428571	71.05263157894737	93.75	92.10526315789474
B33.isoforms	Brain	Universal	84.375	64.28571428571429	80.55555555555556	64.28571428571428	90.625	85.71428571428571
B34.isoforms	Brain	Universal	71.875	60.526315789473685	82.85714285714286	60.526315789473685	90.625	92.10526315789474
B35.isoforms	Brain	Universal	81.25	68.42105263157895	83.33333333333334	68.42105263157895	93.75	94.73684210526315
K31.isoforms	Kidney	Kidney	71.11111111111111	59.25925925925925	77.08333333333333	59.25925925925925	82.22222222222221	88.88888888888889
K32.isoforms	Kidney	Kidney	73.33333333333333	67.3469387755102	82.22222222222221	67.34693877551021	82.22222222222221	91.83673469387756
K33.isoforms	Kidney	Kidney	64.44444444444444	61.702127659574465	83.33333333333334	61.702127659574465	77.77777777777779	89.36170212765957
K34.isoforms	Kidney	Kidney	64.44444444444444	61.702127659574465	83.33333333333334	61.702127659574465	77.77777777777779	89.36170212765957
K35.isoforms	Kidney	Kidney	62.22222222222222	63.63636363636363	78.57142857142857	63.63636363636363	73.33333333333333	95.45454545454545
K31.isoforms	Kidney	Universal	75	60	85.71428571428571	60	93.75	87.5
K32.isoforms	Kidney	Universal	75	68.57142857142857	87.87878787878788	68.57142857142857	90.625	94.28571428571428
K33.isoforms	Kidney	Universal	75	64.86486486486487	90.9090909090909	64.86486486486487	93.75	89.1891891891892
K34.isoforms	Kidney	Universal	68.75	64.70588235294117	87.87878787878788	64.70588235294117	90.625	97.05882352941177
K35.isoforms	Kidney	Universal	65.625	67.74193548387096	89.99999999999999	67.74193548387098	84.375	96.7741935483871
