Tissue	Samples	Metric	N	Mean	SD	SE	CI_t	CI_lower	CI_upper	SamplesLabel
Brain	1	Sensitivity	5	86.08695652173913	1.9444069369563426	0.869565217391306	2.7764451051977934	83.67265643026278	88.50125661321547	1
Brain	1	Non-redundant Precision	5	99.33843630399126	0.9063473279432291	0.405330847301271	2.7764451051977934	98.21305745701596	100.46381515096655	1
Brain	1	Inv. Redundancy	5	100	0	0	2.7764451051977934	100	100	1
Brain	1	1 - FDR	5	99.33843630399126	0.9063473279432291	0.405330847301271	2.7764451051977934	98.21305745701596	100.46381515096655	1
Brain	1	PDR	5	86.08695652173913	1.9444069369563426	0.869565217391306	2.7764451051977934	83.67265643026278	88.50125661321547	1
Brain	1	F1	5	92.22797305948774	1.1660538915994187	0.5214751534088943	2.7764451051977934	90.78012592232335	93.67582019665213	1
Brain	2	Sensitivity	10	83.18840579710144	1.8332044406773222	0.5797101449275365	2.262157162798205	81.87701034040683	84.49980125379605	2
Brain	2	Non-redundant Precision	10	100	0	0	2.262157162798205	100	100	2
Brain	2	Inv. Redundancy	10	100	0	0	2.262157162798205	100	100	2
Brain	2	1 - FDR	10	100	0	0	2.262157162798205	100	100	2
Brain	2	PDR	10	83.18840579710144	1.8332044406773222	0.5797101449275365	2.262157162798205	81.87701034040683	84.49980125379605	2
Brain	2	F1	10	90.81293202764977	1.094042479066729	0.34596660908279486	2.262157162798205	90.03030118482411	91.59556287047542	2
Brain	3	Sensitivity	10	85.5072463768116	0	0	2.262157162798205	85.5072463768116	85.5072463768116	3
Brain	3	Non-redundant Precision	10	100	0	0	2.262157162798205	100	100	3
Brain	3	Inv. Redundancy	10	100	0	0	2.262157162798205	100	100	3
Brain	3	1 - FDR	10	100	0	0	2.262157162798205	100	100	3
Brain	3	PDR	10	85.5072463768116	0	0	2.262157162798205	85.5072463768116	85.5072463768116	3
Brain	3	F1	10	92.1875	0	0	2.262157162798205	92.1875	92.1875	3
Brain	4	Sensitivity	5	85.5072463768116	0	0	2.7764451051977934	85.5072463768116	85.5072463768116	4
Brain	4	Non-redundant Precision	5	100	0	0	2.7764451051977934	100	100	4
Brain	4	Inv. Redundancy	5	100	0	0	2.7764451051977934	100	100	4
Brain	4	1 - FDR	5	100	0	0	2.7764451051977934	100	100	4
Brain	4	PDR	5	85.5072463768116	0	0	2.7764451051977934	85.5072463768116	85.5072463768116	4
Brain	4	F1	5	92.1875	0	0	2.7764451051977934	92.1875	92.1875	4
Brain	5	Sensitivity	1	85.5072463768116	NA	NA	NA	NA	NA	5
Brain	5	Non-redundant Precision	1	100	NA	NA	NA	NA	NA	5
Brain	5	Inv. Redundancy	1	100	NA	NA	NA	NA	NA	5
Brain	5	1 - FDR	1	100	NA	NA	NA	NA	NA	5
Brain	5	PDR	1	85.5072463768116	NA	NA	NA	NA	NA	5
Brain	5	F1	1	92.1875	NA	NA	NA	NA	NA	5
Kidney	1	Sensitivity	5	84.6376811594203	2.6327394383456455	1.1773968702370958	2.7764451051977934	81.36870338217531	87.90665893666528	1
Kidney	1	Non-redundant Precision	5	98.99320882852292	0.9204567334555831	0.4116407652708177	2.7764451051977934	97.85031084068689	100.13610681635896	1
Kidney	1	Inv. Redundancy	5	100	0	0	2.7764451051977934	100	100	1
Kidney	1	1 - FDR	5	98.99320882852292	0.9204567334555802	0.41164076527081644	2.7764451051977934	97.85031084068689	100.13610681635896	1
