record_type	figure_id	panel_id	Species	Group	gene_id	variable	value	n	median	mean	sd
raw	fig-s2-log	Expression	Human	Other	ENSG00000182415	log10_score_plus_offset	-3.19849975707747				
raw	fig-s2-log	Expression	Human	Other	ENSG00000129873	log10_score_plus_offset	-3.2652263923463				
raw	fig-s2-log	Expression	Human	Other	ENSG00000184895	log10_score_plus_offset	-2.59236199754518				
raw	fig-s2-log	Expression	Human	Other	ENSG00000154620	log10_score_plus_offset	0.207155820827553				
raw	fig-s2-log	Expression	Human	Other	ENSG00000129864	log10_score_plus_offset	-3.08239315609205				
raw	fig-s2-log	Expression	Human	Other	ENSG00000129862	log10_score_plus_offset	-3.00193735580676				
raw	fig-s2-log	Expression	Human	Other	ENSG00000280969	log10_score_plus_offset	1.67025142965532				
raw	fig-s2-log	Expression	Human	Other	ENSG00000204899	log10_score_plus_offset	0.685841884452732				
raw	fig-s2-log	Expression	Human	Other	ENSG00000232263	log10_score_plus_offset	-3.8506260418454				
raw	fig-s2-log	Expression	Human	Other	ENSG00000156282	log10_score_plus_offset	-3.41470535976988				
raw	fig-s2-log	Expression	Human	Other	ENSG00000188694	log10_score_plus_offset	-3.61766955180702				
raw	fig-s2-log	Expression	Human	Other	ENSG00000204918	log10_score_plus_offset	-3.99716259295056				
raw	fig-s2-log	Expression	Human	Other	ENSG00000227151	log10_score_plus_offset	-3.99783972322333				
raw	fig-s2-log	Expression	Human	Other	ENSG00000234278	log10_score_plus_offset	-3.99275992186495				
raw	fig-s2-log	Expression	Human	Other	ENSG00000156284	log10_score_plus_offset	-2.00458217015529				
raw	fig-s2-log	Expression	Human	Other	ENSG00000102837	log10_score_plus_offset	-1.35789311416701				
raw	fig-s2-log	Expression	Human	Other	ENSG00000204919	log10_score_plus_offset	-3.98029809293964				
raw	fig-s2-log	Expression	Human	Other	ENSG00000180440	log10_score_plus_offset	-1.10401571659549				
raw	fig-s2-log	Expression	Human	Other	ENSG00000182968	log10_score_plus_offset	-2.3703650182202				
raw	fig-s2-log	Expression	Human	Other	ENSG00000185950	log10_score_plus_offset	0.698133514789985				
raw	fig-s2-log	Expression	Human	Other	ENSG00000204442	log10_score_plus_offset	-0.658110561086822				
raw	fig-s2-log	Expression	Human	Other	ENSG00000228075	log10_score_plus_offset	-2.80244729266172				
raw	fig-s2-log	Expression	Human	Other	ENSG00000102539	log10_score_plus_offset	-1.64742245844589				
raw	fig-s2-log	Expression	Human	Other	ENSG00000166603	log10_score_plus_offset	-1.43074084480294				
raw	fig-s2-log	Expression	Human	Other	ENSG00000180138	log10_score_plus_offset	-3.10904758698504				
raw	fig-s2-log	Expression	Human	Other	ENSG00000215475	log10_score_plus_offset	-1.7446254320799				
raw	fig-s2-log	Expression	Human	Other	ENSG00000125903	log10_score_plus_offset	-3.87748882221371				
raw	fig-s2-log	Expression	Human	Other	ENSG00000125845	log10_score_plus_offset	0.425049414888024				
raw	fig-s2-log	Expression	Human	Other	ENSG00000173404	log10_score_plus_offset	-1.73892414868366				
raw	fig-s2-log	Expression	Human	Other	ENSG00000185982	log10_score_plus_offset	-3.50377886929884				
raw	fig-s2-log	Expression	Human	Other	ENSG00000170367	log10_score_plus_offset	-2.49382261270265				
raw	fig-s2-log	Expression	Human	Other	ENSG00000077984	log10_score_plus_offset	-1.14109675402616				
raw	fig-s2-log	Expression	Human	Other	ENSG00000170369	log10_score_plus_offset	-1.31079249711022				
raw	fig-s2-log	Expression	Human	Other	ENSG00000169508	log10_score_plus_offset	-0.195145745333368				
raw	fig-s2-log	Expression	Human	Other	ENSG00000215397	log10_score_plus_offset	-3.12236766535069				
raw	fig-s2-log	Expression	Human	Other	ENSG00000088782	log10_score_plus_offset	-3.58130542396074				
raw	fig-s2-log	Expression	Human	Other	ENSG00000215547	log10_score_plus_offset	-3.57562338688663				
raw	fig-s2-log	Expression	Human	Other	ENSG00000101435	log10_score_plus_offset	-2.89663688278363				
raw	fig-s2-log	Expression	Human	Other	ENSG00000180205	log10_score_plus_offset	-3.72923064374375				
raw	fig-s2-log	Expression	Human	Other	ENSG00000139832	log10_score_plus_offset	0.611892343946089				
raw	fig-s2-log	Expression	Human	TUSCO	ENSG00000165572	log10_score_plus_offset	0.489873353561514				
raw	fig-s2-log	Expression	Human	Other	ENSG00000120696	log10_score_plus_offset	0.405485421594209				
raw	fig-s2-log	Expression	Human	Other	ENSG00000124089	log10_score_plus_offset	-3.48715758848128				
raw	fig-s2-log	Expression	Human	Other	ENSG00000054803	log10_score_plus_offset	-1.6779019136499				
raw	fig-s2-log	Expression	Human	Other	ENSG00000180730	log10_score_plus_offset	0.0785787760255243				
raw	fig-s2-log	Expression	Human	Other	ENSG00000130701	log10_score_plus_offset	-1.93444713441181				
raw	fig-s2-log	Expression	Human	Other	ENSG00000203883	log10_score_plus_offset	-0.106268263566903				
raw	fig-s2-log	Expression	Human	Other	ENSG00000253797	log10_score_plus_offset	0.652259026354877				
raw	fig-s2-log	Expression	Human	Other	ENSG00000132631	log10_score_plus_offset	-2.62418258794303				
raw	fig-s2-log	Expression	Human	Other	ENSG00000178695	log10_score_plus_offset	1.08517317507706				
raw	fig-s2-log	Expression	Human	Other	ENSG00000125255	log10_score_plus_offset	-2.80383527760557				
raw	fig-s2-log	Expression	Human	Other	ENSG00000177504	log10_score_plus_offset	-3.24694960408391				
raw	fig-s2-log	Expression	Human	Other	ENSG00000169840	log10_score_plus_offset	-3.55677121979392				
raw	fig-s2-log	Expression	Human	Other	ENSG00000139515	log10_score_plus_offset	-2.21917794797789				
raw	fig-s2-log	Expression	Human	Other	ENSG00000126010	log10_score_plus_offset	-0.816067763457393				
raw	fig-s2-log	Expression	Human	Other	ENSG00000147027	log10_score_plus_offset	0.954616248635089				
raw	fig-s2-log	Expression	Human	Other	ENSG00000185915	log10_score_plus_offset	-2.05422052647646				
raw	fig-s2-log	Expression	Human	Other	ENSG00000184302	log10_score_plus_offset	-3.1734708660003				
raw	fig-s2-log	Expression	Human	Other	ENSG00000197296	log10_score_plus_offset	0.466603298518522				
raw	fig-s2-log	Expression	Human	Other	ENSG00000160182	log10_score_plus_offset	-1.98838421496483				
raw	fig-s2-log	Expression	Human	TUSCO	ENSG00000188636	log10_score_plus_offset	0.78220569413559				
raw	fig-s2-log	Expression	Human	Other	ENSG00000267909	log10_score_plus_offset	-2.17471840196751				
raw	fig-s2-log	Expression	Human	Other	ENSG00000173335	log10_score_plus_offset	-3.22240066672887				
raw	fig-s2-log	Expression	Human	Other	ENSG00000271303	log10_score_plus_offset	1.09287047243996				
raw	fig-s2-log	Expression	Human	Other	ENSG00000130943	log10_score_plus_offset	-2.42889686058078				
raw	fig-s2-log	Expression	Human	Other	ENSG00000101074	log10_score_plus_offset	-2.93266040713117				
raw	fig-s2-log	Expression	Human	Other	ENSG00000165389	log10_score_plus_offset	0.946526370944134				
raw	fig-s2-log	Expression	Human	Other	ENSG00000260314	log10_score_plus_offset	-0.456443001466424				
raw	fig-s2-log	Expression	Human	Other	ENSG00000128203	log10_score_plus_offset	0.00940403291053836				
raw	fig-s2-log	Expression	Human	Other	ENSG00000187516	log10_score_plus_offset	-2.21426632444907				
raw	fig-s2-log	Expression	Human	Other	ENSG00000102218	log10_score_plus_offset	0.699056546595118				
raw	fig-s2-log	Expression	Human	Other	ENSG00000189132	log10_score_plus_offset	-3.49064145601059				
raw	fig-s2-log	Expression	Human	Other	ENSG00000147119	log10_score_plus_offset	0.498977107246682				
raw	fig-s2-log	Expression	Human	Other	ENSG00000088356	log10_score_plus_offset	0.698192133157393				
raw	fig-s2-log	Expression	Human	Other	ENSG00000260903	log10_score_plus_offset	-1.99361837416355				
raw	fig-s2-log	Expression	Human	Other	ENSG00000285566	log10_score_plus_offset	-3.40279622851446				
raw	fig-s2-log	Expression	Human	Other	ENSG00000280165	log10_score_plus_offset	-0.549725020274392				
raw	fig-s2-log	Expression	Human	Other	ENSG00000263761	log10_score_plus_offset	-2.84932769551382				
raw	fig-s2-log	Expression	Human	Other	ENSG00000176435	log10_score_plus_offset	-0.05311724110793				
raw	fig-s2-log	Expression	Human	Other	ENSG00000234289	log10_score_plus_offset	-2.37264963596598				
raw	fig-s2-log	Expression	Human	Other	ENSG00000101405	log10_score_plus_offset	-1.06351311137015				
raw	fig-s2-log	Expression	Human	Other	ENSG00000101200	log10_score_plus_offset	-1.96137967230211				
raw	fig-s2-log	Expression	Human	Other	ENSG00000230797	log10_score_plus_offset	-0.349292040384239				
raw	fig-s2-log	Expression	Human	Other	ENSG00000160233	log10_score_plus_offset	-0.265069212587591				
raw	fig-s2-log	Expression	Human	Other	ENSG00000189299	log10_score_plus_offset	-3.60261773113615				
