figure_id	panel_id	sample_id	x_name	y_name	x_value	y_value	cell_line	method	platform	short_read_support	n	pearson_r_overall	pearson_p_overall	pearson_r_within_ont	pearson_p_within_ont	pearson_r_within_pacbio	pearson_p_within_pacbio	manova_pillai_p	log10_total_reads	median_read_length
fig-s3	NA	ES-cDNA-ONT	Log(total Reads Number) * Median Read Length	False Negatives (%)	80238.7934632422	21.875	ES	ONT-cDNA	ONT	No	12	-0.8025271709123407	0.0016797038963851406	0.6065931914744073	0.11083899520670025	1	0	7.743111449187051e-11	7.187279959086545	11164
fig-s3	NA	ES-cDNA-ONT-LS	Log(total Reads Number) * Median Read Length	False Negatives (%)	80238.7934632422	34.375	ES	ONT-cDNA	ONT	Yes	12	-0.8025271709123407	0.0016797038963851406	0.6065931914744073	0.11083899520670025	1	0	7.743111449187051e-11	7.187279959086545	11164
fig-s3	NA	ES-cDNA-PacBio	Log(total Reads Number) * Median Read Length	False Negatives (%)	202465.97014827	6.25	ES	PacBio-cDNA	PacBio	No	12	-0.8025271709123407	0.0016797038963851406	0.6065931914744073	0.11083899520670025	1	0	7.743111449187051e-11	6.402571899472844	31622.6
fig-s3	NA	ES-cDNA-PacBio-LS	Log(total Reads Number) * Median Read Length	False Negatives (%)	202465.97014827	6.25	ES	PacBio-cDNA	PacBio	Yes	12	-0.8025271709123407	0.0016797038963851406	0.6065931914744073	0.11083899520670025	1	0	7.743111449187051e-11	6.402571899472844	31622.6
fig-s3	NA	ES-dRNA-ONT	Log(total Reads Number) * Median Read Length	False Negatives (%)	75799.5009551895	28.125	ES	ONT-dRNA	ONT	No	12	-0.8025271709123407	0.0016797038963851406	0.6065931914744073	0.11083899520670025	1	0	7.743111449187051e-11	5.981794151944053	12671.7
fig-s3	NA	ES-dRNA-ONT-LS	Log(total Reads Number) * Median Read Length	False Negatives (%)	75799.5009551895	28.125	ES	ONT-dRNA	ONT	Yes	12	-0.8025271709123407	0.0016797038963851406	0.6065931914744073	0.11083899520670025	1	0	7.743111449187051e-11	5.981794151944053	12671.7
fig-s3	NA	WTC11-cDNA-ONT	Log(total Reads Number) * Median Read Length	False Negatives (%)	88733.4480448458	28.26086956521739	WTC11	ONT-cDNA	ONT	No	12	-0.8025271709123407	0.0016797038963851406	0.6065931914744073	0.11083899520670025	1	0	7.743111449187051e-11	7.22126402161866	12287.8
fig-s3	NA	WTC11-cDNA-ONT-LS	Log(total Reads Number) * Median Read Length	False Negatives (%)	88733.4480448458	28.26086956521739	WTC11	ONT-cDNA	ONT	Yes	12	-0.8025271709123407	0.0016797038963851406	0.6065931914744073	0.11083899520670025	1	0	7.743111449187051e-11	7.22126402161866	12287.8
fig-s3	NA	WTC11-cDNA-PacBio	Log(total Reads Number) * Median Read Length	False Negatives (%)	216283.7564	13.043478260869565	WTC11	PacBio-cDNA	PacBio	No	12	-0.8025271709123407	0.0016797038963851406	0.6065931914744073	0.11083899520670025	1	0	7.743111449187051e-11	6.418353668717004	33697.7
fig-s3	NA	WTC11-cDNA-PacBio-LS	Log(total Reads Number) * Median Read Length	False Negatives (%)	216283.7564	13.043478260869565	WTC11	PacBio-cDNA	PacBio	Yes	12	-0.8025271709123407	0.0016797038963851406	0.6065931914744073	0.11083899520670025	1	0	7.743111449187051e-11	6.418353668717004	33697.7
fig-s3	NA	WTC11-dRNA-ONT	Log(total Reads Number) * Median Read Length	False Negatives (%)	69339.3424772795	19.565217391304348	WTC11	ONT-dRNA	ONT	No	12	-0.8025271709123407	0.0016797038963851406	0.6065931914744073	0.11083899520670025	1	0	7.743111449187051e-11	5.879952722262411	11792.5
fig-s3	NA	WTC11-dRNA-ONT-LS	Log(total Reads Number) * Median Read Length	False Negatives (%)	69339.3424772795	17.391304347826086	WTC11	ONT-dRNA	ONT	Yes	12	-0.8025271709123407	0.0016797038963851406	0.6065931914744073	0.11083899520670025	1	0	7.743111449187051e-11	5.879952722262411	11792.5
