figure_id	sample_id	cell_line	platform	method	platform_method	short_read_support	total_tusco_genes	FN_count	FN_pct	kruskal_wallis_p
fig-s4	ES-cDNA-ONT	ES	ONT	cDNA	ONT-cDNA	No	32	12	37.5	0.031751326070028306
fig-s4	ES-cDNA-ONT-LS	ES	ONT	cDNA	ONT-cDNA	Yes	32	12	37.5	0.031751326070028306
fig-s4	ES-cDNA-PacBio	ES	PacBio	cDNA	PacBio-cDNA	No	32	2	6.25	0.031751326070028306
fig-s4	ES-cDNA-PacBio-LS	ES	PacBio	cDNA	PacBio-cDNA	Yes	32	2	6.25	0.031751326070028306
fig-s4	ES-dRNA-ONT	ES	ONT	dRNA	ONT-dRNA	No	32	10	31.25	0.031751326070028306
fig-s4	ES-dRNA-ONT-LS	ES	ONT	dRNA	ONT-dRNA	Yes	32	13	40.62	0.031751326070028306
fig-s4	WTC11-cDNA-ONT	WTC11	ONT	cDNA	ONT-cDNA	No	46	12	26.09	0.031751326070028306
fig-s4	WTC11-cDNA-ONT-LS	WTC11	ONT	cDNA	ONT-cDNA	Yes	46	12	26.09	0.031751326070028306
fig-s4	WTC11-cDNA-PacBio	WTC11	PacBio	cDNA	PacBio-cDNA	No	46	4	8.7	0.031751326070028306
fig-s4	WTC11-cDNA-PacBio-LS	WTC11	PacBio	cDNA	PacBio-cDNA	Yes	46	4	8.7	0.031751326070028306
fig-s4	WTC11-dRNA-ONT	WTC11	ONT	dRNA	ONT-dRNA	No	46	5	10.87	0.031751326070028306
fig-s4	WTC11-dRNA-ONT-LS	WTC11	ONT	dRNA	ONT-dRNA	Yes	46	4	8.7	0.031751326070028306
