species	sample	Species	Group	ref_len_bin	n	mean	sd	median	q1	q3	iqr
human	wtc11_cdna_pacbio	Human	PTP	3-5kb	225	0.888432771190075	0.253782780071639	0.990755498884284	0.881517811048012	0.993624481989162	0.112106670941149
human	wtc11_cdna_pacbio	Human	TP	3-5kb	490	0.804133516138155	0.305282527864909	0.994520547945205	0.625033738191633	1.00075949445091	0.375725756259282
mouse	es_cdna_pacbio	Mouse	TP	1-2kb	385	0.981002093046023	0.0536432438732766	0.98826714801444	0.97005076142132	1.00730593607306	0.0372551746517396
human	wtc11_cdna_pacbio	Human	PTP	2-3kb	4	1.24819225861336	0.00672090338550475	1.24989366227137	1.24691620586984	1.25116971501489	0.00425350914504463
human	wtc11_cdna_pacbio	Human	TP	<=1kb	847	0.957178374162459	0.0825292014887688	0.970790378006873	0.938491125193102	0.994845360824742	0.0563542356316404
mouse	es_cdna_pacbio	Mouse	PTP	1-2kb	1263	0.577296909956882	0.203128369620412	0.528068506184586	0.516650808753568	0.5523311132255	0.0356803044719315
mouse	es_cdna_pacbio	Mouse	PTP	2-3kb	554	0.910201398860109	0.0722697028052645	0.920621587568249	0.915161696766065	0.92860142797144	0.0134397312053759
human	wtc11_cdna_pacbio	Human	PTP	>5kb	559	0.769102805349284	0.324501950457847	0.986424571525539	0.450175309097619	1.00073814356892	0.550562834471305
mouse	es_cdna_pacbio	Mouse	PTP	3-5kb	35	0.522404871046531	0.368245037579426	0.381009978832779	0.192296595499134	0.838801261829653	0.646504666330519
mouse	es_cdna_pacbio	Mouse	TP	>5kb	177	0.864215779913679	0.222006724394655	0.997284716834756	0.785236220472441	1.00177165354331	0.216535433070866
human	wtc11_cdna_pacbio	Human	PTP	1-2kb	16	1.05273005778355	0.59506248858857	1.34076560896468	0.951859398879266	1.4447138700291	0.492854471149831
human	wtc11_cdna_pacbio	Human	TP	2-3kb	244	1.00226447963813	0.0175094759023878	1.00138360428917	0.992390176409547	1.01145766472999	0.0190674883204438
human	wtc11_cdna_pacbio	Human	TP	1-2kb	22	0.9990135963743	0.00226349952564064	0.998533724340176	0.997800586510264	0.998826979472141	0.00102639296187679
mouse	es_cdna_pacbio	Mouse	PTP	>5kb	11	0.689767715103647	0.151500970654456	0.811775566724792	0.562621807364858	0.82018668581393	0.257564878449072
mouse	es_cdna_pacbio	Mouse	TP	3-5kb	1737	0.970719403002446	0.0805775116136102	0.987190435525192	0.978081411898662	0.995160831198406	0.0170794192997438
human	wtc11_cdna_pacbio	Human	TP	>5kb	3	0.996649916247906	0.00277878598917234	0.995279427440232	0.995051012638952	0.997563575453023	0.00251256281407042
mouse	es_cdna_pacbio	Mouse	PTP	<=1kb	6	2.98596256684492	0.0234434196747996	2.98328877005348	2.97961229946524	2.98596256684492	0.00635026737967959
