window_size	median	mean	q25	q75	min	max	n_zero	n_one	n_multiple
1	0.0000	0.2047	0.0000	0.0000	0	1	1286	331	0
10	0.0000	0.4719	0.0000	1.0000	0	2	864	743	10
100	1.0000	1.1422	0.0000	2.0000	0	8	546	626	445
200	1.0000	1.3438	0.0000	2.0000	0	10	500	587	530
300	1.0000	1.4700	0.0000	2.0000	0	11	496	543	578
500	1.0000	1.6289	0.0000	2.0000	0	15	487	513	617
1000	1.0000	1.8336	0.0000	3.0000	0	23	477	471	669
2000	1.0000	2.1144	0.0000	3.0000	0	53	467	439	711
3000	1.0000	2.2888	0.0000	3.0000	0	58	456	432	729
5000	1.0000	2.5925	0.0000	3.0000	0	60	427	408	782
10000	2.0000	3.3018	1.0000	4.0000	0	62	381	338	898
20000	3.0000	4.7576	1.0000	6.0000	0	106	301	261	1055
50000	5.0000	9.0841	2.0000	12.0000	0	117	174	175	1268
100000	10.0000	16.0204	4.0000	21.0000	0	146	72	105	1440
