window_size	median	mean	q25	q75	min	max	n_zero	n_one	n_multiple
1	0.0000	0.1175	0.0000	0.0000	0	1	804	107	0
10	0.0000	0.2997	0.0000	1.0000	0	2	640	269	2
100	1.0000	0.9506	0.0000	1.0000	0	9	389	315	207
200	1.0000	1.1647	0.0000	2.0000	0	11	351	314	246
300	1.0000	1.2909	0.0000	2.0000	0	14	338	311	262
500	1.0000	1.4984	0.0000	2.0000	0	29	332	297	282
1000	1.0000	1.9594	0.0000	2.0000	0	87	323	288	300
2000	1.0000	2.7431	0.0000	2.0000	0	174	308	277	326
3000	1.0000	3.5401	0.0000	2.0000	0	360	300	264	347
5000	1.0000	5.1076	0.0000	3.0000	0	383	291	245	375
10000	1.0000	9.7168	0.0000	4.0000	0	464	273	219	419
20000	2.0000	12.9506	1.0000	5.0000	0	464	227	166	518
50000	4.0000	18.9407	1.0000	12.0000	0	464	164	114	633
100000	8.0000	25.3326	2.0000	22.5000	0	464	118	85	708
