species	gene_id	group	is_tusco	median_expression	log10_expression	n_tissues
Human	ENSG00000182415	Other single-isoform	FALSE	0.000533140715857854	-3.27234431587391	271
Human	ENSG00000129873	Other single-isoform	FALSE	0.000442967215607067	-3.35264909881923	271
Human	ENSG00000184895	Other single-isoform	FALSE	0.00245645411699506	-2.60951458211104	271
Human	ENSG00000154620	Other single-isoform	FALSE	1.61112362355908	0.20712913522412	271
Human	ENSG00000129864	Other single-isoform	FALSE	0.000727192987231355	-3.13775350779893	271
Human	ENSG00000129862	Other single-isoform	FALSE	0.000895549008553779	-3.04742596537371	271
Human	ENSG00000280969	Other single-isoform	FALSE	46.8005009417264	1.67025051096628	271
Human	ENSG00000204899	Other single-isoform	FALSE	4.85101851151696	0.685833021426127	271
Human	ENSG00000232263	Other single-isoform	FALSE	4.10502817996186e-05	-4.37623108943541	271
Human	ENSG00000156282	Other single-isoform	FALSE	0.000284852790792595	-3.54385756339406	271
Human	ENSG00000188694	Other single-isoform	FALSE	0.000141173978755875	-3.84717988262762	271
Human	ENSG00000204918	Other single-isoform	FALSE	6.55476019969587e-07	-5.78107710574267	271
Human	ENSG00000227151	Other single-isoform	FALSE	4.9866130787868e-07	-5.82429650506983	271
Human	ENSG00000234278	Other single-isoform	FALSE	1.68106307939104e-06	-5.57169296792343	271
Human	ENSG00000156284	Other single-isoform	FALSE	0.00979504628146128	-2.0089491717164	271
Human	ENSG00000102837	Other single-isoform	FALSE	0.043763863948127	-1.35887441728605	271
Human	ENSG00000204919	Other single-isoform	FALSE	4.64100620005195e-06	-5.24864342293958	271
Human	ENSG00000180440	Other single-isoform	FALSE	0.0786017307968977	-1.10456236554555	271
Human	ENSG00000182968	Other single-isoform	FALSE	0.00416221135525182	-2.38057154056901	271
Human	ENSG00000185950	Other single-isoform	FALSE	4.99027882679354	0.69812489909533	271
Human	ENSG00000204442	Other single-isoform	FALSE	0.219630042094229	-0.658306277803588	271
Human	ENSG00000228075	Other single-isoform	FALSE	0.00147598727788915	-2.83062324549126	271
Human	ENSG00000102539	Other single-isoform	FALSE	0.0224204747497891	-1.64933582552196	271
Human	ENSG00000166603	Other single-isoform	FALSE	0.0369901982947854	-1.43190159989889	271
Human	ENSG00000180138	Other single-isoform	FALSE	0.00067795130384719	-3.16816137333194	271
Human	ENSG00000215475	Other single-isoform	FALSE	0.0179042306468681	-1.74702008023617	271
Human	ENSG00000125903	Other single-isoform	FALSE	3.25901243107842e-05	-4.4737883889125	271
Human	ENSG00000125845	Other single-isoform	FALSE	2.66092781960039	0.425033257239013	271
Human	ENSG00000173404	Other single-isoform	FALSE	0.018142142810205	-1.74128748095253	271
Human	ENSG00000185982	Other single-isoform	FALSE	0.000213488151270795	-3.66859669406127	271
Human	ENSG00000170367	Other single-isoform	FALSE	0.00310757919060473	-2.50743806456586	271
Human	ENSG00000077984	Other single-isoform	FALSE	0.0721608799716038	-1.14169216101686	271
Human	ENSG00000170369	Other single-isoform	FALSE	0.0487885889834437	-1.31167284048528	271
Human	ENSG00000169508	Other single-isoform	FALSE	0.637949326625564	-0.19521313587487	271
Human	ENSG00000215397	Other single-isoform	FALSE	0.000654453251627274	-3.18345827771045	271
Human	ENSG00000088782	Other single-isoform	FALSE	0.000162237367201772	-3.78718041842562	271
Human	ENSG00000215547	Other single-isoform	FALSE	0.000165690859118721	-3.77808821506789	271
Human	ENSG00000101435	Other single-isoform	FALSE	0.00116871220330769	-2.93192097918567	271
Human	ENSG00000180205	Other single-isoform	FALSE	8.65388762947448e-05	-4.05779903257011	271
Human	ENSG00000139832	Other single-isoform	FALSE	4.09149221813908	0.611881835647222	271
Human	ENSG00000165572	TUSCO	TRUE	3.08929438986394	0.489859436321696	271
Human	ENSG00000120696	Other single-isoform	FALSE	2.54371440088427	0.405468519421489	271
Human	ENSG00000124089	Other single-isoform	FALSE	0.000225718489055938	-3.64451306140173	271
Human	ENSG00000054803	Other single-isoform	FALSE	0.0208941398728249	-1.6799547173276	271
Human	ENSG00000180730	Other single-isoform	FALSE	1.1982364679344	0.0785428955103527	271
Human	ENSG00000130701	Other single-isoform	FALSE	0.0115292810273622	-1.93816010752357	271
Human	ENSG00000203883	Other single-isoform	FALSE	0.782845867947784	-0.106323181632085	271
Human	ENSG00000253797	Other single-isoform	FALSE	4.49003115078061	0.652249450770944	271
Human	ENSG00000132631	Other single-isoform	FALSE	0.00227584121530038	-2.64266725560505	271
Human	ENSG00000178695	Other single-isoform	FALSE	12.1666105194165	1.08516964122717	271
Human	ENSG00000125255	Other single-isoform	FALSE	0.00147095853601819	-2.83210442358013	271
Human	ENSG00000177504	Other single-isoform	FALSE	0.000466304999759044	-3.33039957237576	271
Human	ENSG00000169840	Other single-isoform	FALSE	0.000177478143542768	-3.74841496005571	271
Human	ENSG00000139515	Other single-isoform	FALSE	0.00593701217937506	-2.22635891596363	271
Human	ENSG00000126010	Other single-isoform	FALSE	0.152632772897855	-0.81634936048108	271
Human	ENSG00000147027	Other single-isoform	FALSE	9.0076484302483	0.954611475478921	271
Human	ENSG00000185915	Other single-isoform	FALSE	0.00872631603071762	-2.0591192972186	271
Human	ENSG00000184302	Other single-isoform	FALSE	0.000570701278191359	-3.24283083680299	271
Human	ENSG00000197296	Other single-isoform	FALSE	2.92811727565017	0.466588615222684	271
Human	ENSG00000160182	Other single-isoform	FALSE	0.0101710722698429	-1.99259056293966	271
Human	ENSG00000188636	TUSCO	TRUE	6.05617649200152	0.782198594805633	271
Human	ENSG00000267909	Other single-isoform	FALSE	0.00658777414583692	-2.18119537921796	271
Human	ENSG00000173335	Other single-isoform	FALSE	0.000499237982632646	-3.30082333575326	271
Human	ENSG00000271303	Other single-isoform	FALSE	12.3841717273374	1.09286700067137	271
Human	ENSG00000130943	Other single-isoform	FALSE	0.00362480155053727	-2.44059596964623	271
Human	ENSG00000101074	Other single-isoform	FALSE	0.00106772235070249	-2.97113510790603	271
Human	ENSG00000165389	Other single-isoform	FALSE	8.84140854397723	0.946521508041587	271
Human	ENSG00000260314	Other single-isoform	FALSE	0.349488387957112	-0.456566006818553	271
Human	ENSG00000128203	Other single-isoform	FALSE	1.02178972623469	0.00936195671052369	271
Human	ENSG00000187516	Other single-isoform	FALSE	0.00600567488903319	-2.22136587358284	271
Human	ENSG00000102218	Other single-isoform	FALSE	5.00089645385742	0.699047949192645	271
Human	ENSG00000189132	Other single-isoform	FALSE	0.00022311605961185	-3.64952702186337	271
Human	ENSG00000147119	Other single-isoform	FALSE	3.15473831953708	0.498963478710456	271
Human	ENSG00000088356	Other single-isoform	FALSE	4.9909524425415	0.698183518625564	271
Human	ENSG00000260903	Other single-isoform	FALSE	0.0100480272755985	-1.99787597498831	271
Human	ENSG00000285566	Other single-isoform	FALSE	0.000295552170081508	-3.52789889357981	271
Human	ENSG00000280165	Other single-isoform	FALSE	0.281916799554629	-0.549877503041783	271
Human	ENSG00000263761	Other single-isoform	FALSE	0.00131472590021692	-2.88083457608831	271
Human	ENSG00000176435	Other single-isoform	FALSE	0.884776698370262	-0.0531658326903683	271
Human	ENSG00000234289	Other single-isoform	FALSE	0.00413984874945445	-2.38291063244787	271
Human	ENSG00000101405	Other single-isoform	FALSE	0.0862946577704208	-1.06401105658826	271
Human	ENSG00000101200	Other single-isoform	FALSE	0.0108300041714277	-1.96533127690256	271
Human	ENSG00000230797	Other single-isoform	FALSE	0.447312341536312	-0.349388148397449	271
Human	ENSG00000160233	Other single-isoform	FALSE	0.543063761741305	-0.265148376691457	271
Human	ENSG00000189299	Other single-isoform	FALSE	0.00014967914522988	-3.82194685212021	271
Human	ENSG00000215455	Other single-isoform	FALSE	0.000315992910905507	-3.49895045005053	271
Human	ENSG00000212935	Other single-isoform	FALSE	0.000276404401013409	-3.55688665313773	271
Human	ENSG00000241123	Other single-isoform	FALSE	0.000256929172040976	-3.58849953595457	271
Human	ENSG00000188155	Other single-isoform	FALSE	0.000604423320053299	-3.2179408546457	271
Human	ENSG00000272804	Other single-isoform	FALSE	0.000108393389511504	-3.96100892101371	271
Human	ENSG00000187766	Other single-isoform	FALSE	2.17023667266495e-05	-4.64392886515291	271
Human	ENSG00000221859	Other single-isoform	FALSE	4.00715924280865e-05	-4.38645845835103	271
Human	ENSG00000243489	Other single-isoform	FALSE	7.66658125066544e-05	-4.10977010999004	271
Human	ENSG00000212933	Other single-isoform	FALSE	0.00105532488089797	-2.97620249062629	271
Human	ENSG00000205439	Other single-isoform	FALSE	0.000183931204047418	-3.73298980272819	271
Human	ENSG00000221864	Other single-isoform	FALSE	0.00104881588026821	-2.97888686206827	271
Human	ENSG00000187175	Other single-isoform	FALSE	0.00233293394558132	-2.63191143941125	271
Human	ENSG00000179772	Other single-isoform	FALSE	0.270949141587347	-0.567110617707182	271
Human	ENSG00000265203	Other single-isoform	FALSE	0.000524820840216322	-3.27916220519887	271
Human	ENSG00000187601	Other single-isoform	FALSE	6.9982475704617	0.844989364106115	271
Human	ENSG00000274588	Other single-isoform	FALSE	0.00984628227732485	-2.00668361263121	271
Human	ENSG00000232838	Other single-isoform	FALSE	6.69555556349502	0.825786683276085	271
Human	ENSG00000266524	Other single-isoform	FALSE	0.334868691151918	-0.475124158405618	271
Human	ENSG00000100985	Other single-isoform	FALSE	0.277779460565685	-0.5562983063556	271
Human	ENSG00000176399	Other single-isoform	FALSE	0.427846707112892	-0.368710791104597	271
Human	ENSG00000196468	Other single-isoform	FALSE	0.0615751578742001	-1.21058741296595	271
Human	ENSG00000101421	Other single-isoform	FALSE	23.9328439167227	1.37899432662	271
Human	ENSG00000106511	Other single-isoform	FALSE	0.699634342845207	-0.155128259778051	271
Human	ENSG00000186009	Other single-isoform	FALSE	0.00333313178271055	-2.47701723852933	271
Human	ENSG00000186288	Other single-isoform	FALSE	0.00436775674431464	-2.35964213646301	271
Human	ENSG00000171864	Other single-isoform	FALSE	0.0529868672822954	-1.27582356012655	271
Human	ENSG00000183640	Other single-isoform	FALSE	0.000883815153485815	-3.05314744817894	271
Human	ENSG00000274749	Other single-isoform	FALSE	0.000695481198231448	-3.15709060302257	271
Human	ENSG00000182591	Other single-isoform	FALSE	0.00270700684511038	-2.56735024220628	271
Human	ENSG00000206102	Other single-isoform	FALSE	0.00139540841117642	-2.85498754390505	271
Human	ENSG00000198934	Other single-isoform	FALSE	0.681899120877867	-0.166279232569612	271
Human	ENSG00000179300	Other single-isoform	FALSE	0.021013286753662	-1.67748534580632	271
Human	ENSG00000233056	Other single-isoform	FALSE	0.0157920763208098	-1.8015332658738	271
Human	ENSG00000152315	Other single-isoform	FALSE	0.148390450296364	-0.828591120593887	271
Human	ENSG00000215454	Other single-isoform	FALSE	0.000250521255543708	-3.59942530772425	271
Human	ENSG00000218823	Other single-isoform	FALSE	0.0375021442566167	-1.42593231957752	271
Human	ENSG00000169676	Other single-isoform	FALSE	0.00303271144271047	-2.51802573033846	271
Human	ENSG00000170925	Other single-isoform	FALSE	0.000149325993940389	-3.82296591596143	271
Human	ENSG00000186675	Other single-isoform	FALSE	0.00536968156274875	-2.26997059695253	271
Human	ENSG00000215174	Other single-isoform	FALSE	0.00452946022423492	-2.34385767818732	271
Human	ENSG00000165496	Other single-isoform	FALSE	0.0036910331296527	-2.43273441058199	271
Human	ENSG00000204612	Other single-isoform	FALSE	0.00155891658877344	-2.80689862344292	271
Human	ENSG00000229937	Other single-isoform	FALSE	0.0013873365231225	-2.85750525115723	271
Human	ENSG00000196767	Other single-isoform	FALSE	0.00327685338296016	-2.48441047614545	271
Human	ENSG00000180332	Other single-isoform	FALSE	0.0175666028945908	-1.75528749409231	271
Human	ENSG00000090776	Other single-isoform	FALSE	8.11916966890156	0.90951167058181	271
Human	ENSG00000102055	Other single-isoform	FALSE	0.000891552518535041	-3.04936622021418	271
Human	ENSG00000226372	Other single-isoform	FALSE	0.000334916747578605	-3.47376834328647	271
Human	ENSG00000186767	Other single-isoform	FALSE	1.87614245769022	0.273266043265445	271
Human	ENSG00000198354	Other single-isoform	FALSE	0.0589343808279034	-1.22962390580482	271
Human	ENSG00000189401	Other single-isoform	FALSE	0.000342561678773898	-3.46399528379648	271
Human	ENSG00000151846	Other single-isoform	FALSE	0.0204885758891936	-1.68846703090526	271
Human	ENSG00000187559	Other single-isoform	FALSE	0.0129915846090149	-1.88630444632664	271
Human	ENSG00000185052	Other single-isoform	FALSE	0.771907322994001	-0.112434276324972	271
Human	ENSG00000204103	Other single-isoform	FALSE	2.49433390824765	0.396954764715472	271
Human	ENSG00000227234	Other single-isoform	FALSE	0.00139050732282802	-2.85651450384274	271
Human	ENSG00000206043	Other single-isoform	FALSE	0.00088347480512824	-3.0533145337544	271
Human	ENSG00000046774	Other single-isoform	FALSE	0.00581272000609453	-2.2355458880689	271
Human	ENSG00000186462	Other single-isoform	FALSE	0.377498254839505	-0.423083901304755	271
Human	ENSG00000183434	Other single-isoform	FALSE	0.000443798276704141	-3.35183690402342	271
Human	ENSG00000124107	Other single-isoform	FALSE	1.40734626942833	0.148401274824588	271
Human	ENSG00000101446	Other single-isoform	FALSE	4.3848078870578e-05	-4.34825615582561	271
Human	ENSG00000130037	Other single-isoform	FALSE	0.126561071864518	-0.897696424238605	271
Human	ENSG00000102239	Other single-isoform	FALSE	0.00122480866560706	-2.91157731281583	271
