Anatomical_Entity_Name	Number_of_TUSCO_Genes
Universal	64
Ammon's horn	97
C1 segment of cervical spinal cord	95
Peyer's patch	59
adrenal gland	77
amygdala	100
anterior cingulate cortex	101
anterior lingual gland	107
ascending aorta	52
body of pancreas	51
breast epithelium	60
caudate nucleus	102
cerebellar hemisphere	115
cerebellum	83
coronary artery	97
cortex of kidney	94
dorsolateral prefrontal cortex	66
ectocervix	109
endocervix	101
esophagus muscularis mucosa	57
esophagus squamous epithelium	69
fallopian tube	111
fibroblast derived cell line	85
frontal cortex	54
gastrocnemius medialis	61
gastroesophageal sphincter	61
hypothalamus	113
left ventricle myocardium	66
lower leg skin	89
lymphoblast	65
multi exon	30
nucleus accumbens	103
omental fat pad	63
outer medulla of kidney	97
ovary	74
pituitary gland	116
prostate gland	86
putamen	98
right atrium auricular region	63
right lobe of liver	55
sigmoid colon	68
single exon	34
spleen	71
stomach	71
subcutaneous adipose tissue	57
substantia nigra	95
suprapubic skin	85
testis	137
thyroid gland	59
tibial artery	91
tibial nerve	62
transverse colon	57
upper lobe of left lung	59
urinary bladder	77
uterus	49
vagina	66
venous blood	66
