Anatomical_Entity_Name	Number_of_TUSCO_Genes
testis	137
pituitary gland	116
cerebellar hemisphere	115
hypothalamus	113
fallopian tube	111
ectocervix	109
anterior lingual gland	107
nucleus accumbens	103
caudate nucleus	102
endocervix	101
anterior cingulate cortex	101
amygdala	100
putamen	98
outer medulla of kidney	97
Ammon's horn	97
coronary artery	97
C1 segment of cervical spinal cord	95
substantia nigra	95
cortex of kidney	94
tibial artery	91
lower leg skin	89
prostate gland	86
suprapubic skin	85
fibroblast derived cell line	85
cerebellum	83
adrenal gland	77
urinary bladder	77
ovary	74
spleen	71
stomach	71
esophagus squamous epithelium	69
sigmoid colon	68
left ventricle myocardium	66
dorsolateral prefrontal cortex	66
vagina	66
venous blood	66
lymphoblast	65
omental fat pad	63
right atrium auricular region	63
tibial nerve	62
gastroesophageal sphincter	61
gastrocnemius medialis	61
breast epithelium	60
Peyer's patch	59
thyroid gland	59
upper lobe of left lung	59
esophagus muscularis mucosa	57
transverse colon	57
subcutaneous adipose tissue	57
right lobe of liver	55
frontal cortex	54
ascending aorta	52
body of pancreas	51
uterus	49
