Anatomical_Entity_Name	Number_of_TUSCO_Genes
testis	128
cerebellar hemisphere	107
pituitary gland	107
hypothalamus	99
fallopian tube	99
amygdala	95
ectocervix	94
outer medulla of kidney	93
endocervix	93
caudate nucleus	93
nucleus accumbens	93
anterior cingulate cortex	93
putamen	90
Ammon's horn	89
substantia nigra	89
C1 segment of cervical spinal cord	88
cortex of kidney	84
anterior lingual gland	84
tibial artery	83
cerebellum	82
coronary artery	82
fibroblast derived cell line	81
lower leg skin	80
prostate gland	79
suprapubic skin	76
urinary bladder	71
spleen	70
adrenal gland	68
ovary	68
esophagus squamous epithelium	66
stomach	66
dorsolateral prefrontal cortex	65
sigmoid colon	64
right atrium auricular region	62
left ventricle myocardium	61
tibial nerve	60
lymphoblast	60
vagina	59
gastrocnemius medialis	59
omental fat pad	58
gastroesophageal sphincter	58
esophagus muscularis mucosa	56
upper lobe of left lung	56
Peyer's patch	55
thyroid gland	55
right lobe of liver	55
subcutaneous adipose tissue	55
venous blood	55
frontal cortex	54
breast epithelium	54
ascending aorta	52
transverse colon	51
body of pancreas	51
uterus	49
