config_name	species	pipeline	sweep_type	n_genes	n_single_exon	n_multi_exon	n_observed	n_tp	n_ptp	n_fn	n_fp_total	n_fp_nic	n_fp_nnc	n_fp_genic	n_fp_antisense	n_fp_intergenic	n_fp_fusion	n_fp_other	sensitivity	precision	redundant_precision	false_discovery_rate	false_detection_rate
hsa_prev_current	hsa	WTC11_drna_ont	default	46	23	23	37	34	3	9	0	0	0	0	0	0	0	0	0.7391304347826086	0.918918918918919	1.0	0.08108108108108109	0.0
hsa_prev_current	hsa	WTC11_cdna_ont	default	46	23	23	45	22	23	13	0	0	0	0	0	0	0	0	0.41304347826086957	0.4888888888888889	1.0	0.5111111111111111	0.0
hsa_prev_current	hsa	WTC11_cdna_pacbio	default	46	23	23	44	43	1	6	0	0	0	0	0	0	0	0	0.8695652173913043	0.9772727272727273	1.0	0.022727272727272728	0.0
hsa_prev_current	hsa	WTC11_drna_ont_ls	default	46	23	23	41	38	3	8	0	0	0	0	0	0	0	0	0.7608695652173914	0.926829268292683	1.0	0.07317073170731707	0.0
hsa_prev_current	hsa	WTC11_cdna_ont_ls	default	46	23	23	45	22	23	13	0	0	0	0	0	0	0	0	0.41304347826086957	0.4888888888888889	1.0	0.5111111111111111	0.0
hsa_prev_current	hsa	WTC11_cdna_pacbio_ls	default	46	23	23	44	43	1	6	0	0	0	0	0	0	0	0	0.8695652173913043	0.9772727272727273	1.0	0.022727272727272728	0.0
hsa_prev_lenient	hsa	WTC11_drna_ont	default	64	34	30	45	41	4	19	0	0	0	0	0	0	0	0	0.640625	0.9111111111111111	1.0	0.08888888888888889	0.0
hsa_prev_lenient	hsa	WTC11_cdna_ont	default	64	34	30	54	29	25	22	0	0	0	0	0	0	0	0	0.40625	0.5370370370370371	1.0	0.46296296296296297	0.0
hsa_prev_lenient	hsa	WTC11_cdna_pacbio	default	64	34	30	54	53	1	14	0	0	0	0	0	0	0	0	0.78125	0.9814814814814815	1.0	0.018518518518518517	0.0
hsa_prev_lenient	hsa	WTC11_drna_ont_ls	default	64	34	30	49	45	4	18	0	0	0	0	0	0	0	0	0.65625	0.9183673469387755	1.0	0.08163265306122448	0.0
hsa_prev_lenient	hsa	WTC11_cdna_ont_ls	default	64	34	30	54	29	25	22	0	0	0	0	0	0	0	0	0.40625	0.5370370370370371	1.0	0.46296296296296297	0.0
hsa_prev_lenient	hsa	WTC11_cdna_pacbio_ls	default	64	34	30	54	53	1	14	0	0	0	0	0	0	0	0	0.78125	0.9814814814814815	1.0	0.018518518518518517	0.0
hsa_prev_more_lenient	hsa	WTC11_drna_ont	default	79	41	38	49	44	4	30	1	0	0	1	0	0	0	0	0.5569620253164557	0.8979591836734694	0.9795918367346939	0.10204081632653061	0.02040816326530612
hsa_prev_more_lenient	hsa	WTC11_cdna_ont	default	79	41	38	64	37	27	29	0	0	0	0	0	0	0	0	0.4050632911392405	0.578125	1.0	0.421875	0.0
hsa_prev_more_lenient	hsa	WTC11_cdna_pacbio	default	79	41	38	64	62	2	21	0	0	0	0	0	0	0	0	0.7341772151898734	0.96875	1.0	0.03125	0.0
hsa_prev_more_lenient	hsa	WTC11_drna_ont_ls	default	79	41	38	54	50	4	28	0	0	0	0	0	0	0	0	0.5949367088607594	0.9259259259259259	1.0	0.07407407407407407	0.0
hsa_prev_more_lenient	hsa	WTC11_cdna_ont_ls	default	79	41	38	64	37	27	29	0	0	0	0	0	0	0	0	0.4050632911392405	0.578125	1.0	0.421875	0.0
hsa_prev_more_lenient	hsa	WTC11_cdna_pacbio_ls	default	79	41	38	64	62	2	21	0	0	0	0	0	0	0	0	0.7341772151898734	0.96875	1.0	0.03125	0.0
hsa_prev_strict	hsa	WTC11_drna_ont	default	36	19	17	32	29	3	4	0	0	0	0	0	0	0	0	0.8055555555555556	0.90625	1.0	0.09375	0.0
hsa_prev_strict	hsa	WTC11_cdna_ont	default	36	19	17	38	17	21	8	0	0	0	0	0	0	0	0	0.4166666666666667	0.4473684210526316	1.0	0.5526315789473685	0.0
