# Tissue: olfactory bulb
# Gene Count: 26
Gene_ID	Transcript_ID	Gene_Symbol	EntrezGene_ID	RefSeq_mRNA_ID	RefSeq_Protein_ID
ENSMUSG00000027581	ENSMUST00000103045	Stmn3	20262	NM_009133	NP_033159
ENSMUSG00000028367	ENSMUST00000030051	Txn1	22166	NM_011660	NP_035790
ENSMUSG00000033940	ENSMUST00000035725	Brk1	101314	NM_133937	NP_598698
ENSMUSG00000041378	ENSMUST00000043577	Cldn5	12741	NM_013805	NP_038833
ENSMUSG00000046287	ENSMUST00000060418	Pnma3	245468	NM_153169	NP_694809
ENSMUSG00000048355	ENSMUST00000057625	Arxes1	76219	NM_029541	NP_083817
ENSMUSG00000049285	ENSMUST00000057773	Mblac1	330216	NM_177878	NP_808546
ENSMUSG00000050621	ENSMUST00000053150	Rps27rt	100043813	NM_001190258	NP_001177187
ENSMUSG00000051242	ENSMUST00000057228	Pcdhb9	93880	NM_053134	NP_444364
ENSMUSG00000064360	ENSMUST00000082411	mt-Nd3	17718		NP_904335
ENSMUSG00000070583	ENSMUST00000094481	Fv1	14349	NM_010244	NP_034374
ENSMUSG00000071341	ENSMUST00000095759	Egr4	13656	NM_020596	NP_065621
ENSMUSG00000076607	ENSMUST00000103408	Igkj4			
ENSMUSG00000076619	ENSMUST00000103428	Ighj3			
ENSMUSG00000076621	ENSMUST00000103430	Ighj1			
ENSMUSG00000076875	ENSMUST00000103687	Traj58			
ENSMUSG00000076891	ENSMUST00000103703	Traj39			
ENSMUSG00000076892	ENSMUST00000103704	Traj38			
ENSMUSG00000076896	ENSMUST00000103708	Traj33			
ENSMUSG00000076900	ENSMUST00000103712	Traj29			
ENSMUSG00000076901	ENSMUST00000103713	Traj28			
ENSMUSG00000076914	ENSMUST00000103726	Traj15			
ENSMUSG00000078202	ENSMUST00000104999	Nrarp	67122	NM_025980	NP_080256
ENSMUSG00000091736	ENSMUST00000065806	Yy2	100073351	NM_001098723	NP_001092193
ENSMUSG00000092118	ENSMUST00000169357	Fancf	100040608	NM_001115087	NP_001108559
ENSMUSG00000109941	ENSMUST00000210390	Exosc6	72544	NM_028274	NP_082550
