Anatomical_Entity_Name	Number_of_TUSCO_Genes
Universal	30
Ammon's horn	147
adipose tissue	47
adrenal gland	61
adult mammalian kidney	171
animal zygote	100
aorta	90
bone element	91
bone marrow	16
brain	58
brain blood vessel	67
brown adipose tissue	19
central nervous system	54
cerebellar cortex	116
cerebellum	58
cerebral cortex	187
colon	102
cortex of kidney	172
cortical layer V	1
cortical plate	46
dentate gyrus of hippocampal formation granule cell	104
duodenum	93
ectoplacental cone	133
embryo	167
embryonic brain	126
embryonic facial prominence	168
embryonic post anal tail	88
epiblast generic	87
esophagus	182
forebrain	60
forelimb bud	112
frontal cortex	59
ganglionic eminence	79
gastrocnemius	26
gonadal fat pad	16
granular layer of cerebellar cortex	1
granulocyte	98
heart	48
heart left ventricle	69
heart right ventricle	34
hindbrain	58
hindlimb bud	106
hindlimb stylopod muscle	135
hypothalamus	157
ileum	177
intestine	245
islet of Langerhans	184
jejunum	176
kidney	59
large intestine	49
late embryo	83
left cardiac atrium	1
lens of camera type eye	113
limb	65
lip	191
liver	40
lung	76
mandibular prominence	50
maxillary prominence	48
midbrain	56
multi exon	23
multicellular organism	461
muscle tissue	137
neural tube	152
olfactory bulb	17
olfactory epithelium	88
ovary	63
pancreas	29
pineal body	54
pituitary gland	98
placenta	55
primary oocyte	81
primary visual cortex	130
proximal tubule	122
quadriceps femoris	96
retina	87
retinal neural layer	85
right cardiac atrium	1
right kidney	150
secondary oocyte	74
single exon	7
skeletal muscle tissue	114
small intestine	51
soleus muscle	50
spermatid	158
spermatocyte	136
spleen	100
stomach	71
striatum	106
subcutaneous adipose tissue	43
submandibular gland	98
superior frontal gyrus	143
telencephalon	122
testis	68
thoracic mammary gland	28
thymus	124
thyroid gland	5
tibialis anterior	45
triceps brachii	72
undifferentiated genital tubercle	97
urinary bladder	60
uterus	167
ventricular zone	76
vomeronasal organ	3
white adipose tissue	128
yolk sac	93
zone of skin	210
