ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
REACTOME_REGULATION_OF_PTEN_GENE_TRANSCRIPTION	Regulation of PTEN gene transcription	2/26	61/11369	0.03278688524590164	14.336696090794451	5.000172794596341	0.008471943917182402	0.3187131140673967	0.2908584189219603	EGR1/SNAI1	2
REACTOME_ZINC_EFFLUX_AND_COMPARTMENTALIZATION_BY_THE_SLC30_FAMILY	Zinc efflux and compartmentalization by the SLC30 family	1/26	5/11369	0.2	87.45384615384616	9.256961318107724	0.011384416007179432	0.3187131140673967	0.2908584189219603	SLC30A1	1
REACTOME_EPITHELIAL_MESENCHYMAL_TRANSITION_EMT_DURING_GASTRULATION	Epithelial-Mesenchymal Transition (EMT) during gastrulation	1/26	7/11369	0.14285714285714285	62.467032967032964	7.7880479730516905	0.015903199744359275	0.3187131140673967	0.2908584189219603	SNAI1	1
REACTOME_RHO_GTPASES_ACTIVATE_PKNS	RHO GTPases activate PKNs	2/26	93/11369	0.021505376344086023	9.403639371381308	3.895794930931063	0.018939275307139014	0.3187131140673967	0.2908584189219603	YWHAG/H3C13	2
REACTOME_MITOCHONDRIAL_TRANSLATION	Mitochondrial translation	2/26	96/11369	0.020833333333333332	9.10977564102564	3.820229403512451	0.02010349565230169	0.3187131140673967	0.2908584189219603	MRPL41/MRPL50	2
REACTOME_REGULATION_OF_CDH11_GENE_TRANSCRIPTION	Regulation of CDH11 gene transcription	1/26	10/11369	0.1	43.72692307692308	6.4713711645044025	0.02264415724943747	0.3187131140673967	0.2908584189219603	SNAI1	1
REACTOME_SYNTHESIS_OF_PYROPHOSPHATES_IN_THE_CYTOSOL	Synthesis of pyrophosphates in the cytosol	1/26	10/11369	0.1	43.72692307692308	6.4713711645044025	0.02264415724943747	0.3187131140673967	0.2908584189219603	NUDT11	1
REACTOME_SLBP_DEPENDENT_PROCESSING_OF_REPLICATION_DEPENDENT_HISTONE_PRE_MRNAS	SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs	1/26	11/11369	0.09090909090909091	39.75174825174825	6.156040252857293	0.024881260155635965	0.3187131140673967	0.2908584189219603	LSM11	1
REACTOME_REGULATION_OF_LOCALIZATION_OF_FOXO_TRANSCRIPTION_FACTORS	Regulation of localization of FOXO transcription factors	1/26	12/11369	0.08333333333333333	36.43910256410256	5.880391837969951	0.027113438993103034	0.3187131140673967	0.2908584189219603	YWHAG	1
REACTOME_SARS_COV_2_TARGETS_HOST_INTRACELLULAR_SIGNALLING_AND_REGULATORY_PATHWAYS	SARS-CoV-2 targets host intracellular signalling and regulatory pathways	1/26	12/11369	0.08333333333333333	36.43910256410256	5.880391837969951	0.027113438993103034	0.3187131140673967	0.2908584189219603	YWHAG	1
REACTOME_TRANSLATION	Translation	3/26	295/11369	0.010169491525423728	4.446805736636245	2.8717081180535375	0.028932408107597098	0.3187131140673967	0.2908584189219603	MRPL41/MRPL50/MARS2	3
