ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0030684	preribosome	2/32	108/28779	0.018518518518518517	16.65451388888889	5.4379983619269945	0.006430591400599923	0.15026447360374665	0.11812929970181282	Bysl/Rps27rt	2
GO:0140534	endoplasmic reticulum protein-containing complex	2/32	127/28779	0.015748031496062992	14.162893700787402	4.960035583233486	0.008788642333986943	0.15026447360374665	0.11812929970181282	Spcs3/Sdf2l1	2
GO:0032593	insulin-responsive compartment	1/32	10/28779	0.1	89.934375	9.384611595591513	0.011065468562547864	0.15026447360374665	0.11812929970181282	Rab10	1
GO:0034663	endoplasmic reticulum chaperone complex	1/32	12/28779	0.08333333333333333	74.9453125	8.547970482389331	0.013264283565545765	0.15026447360374665	0.11812929970181282	Sdf2l1	1
GO:0030688	preribosome, small subunit precursor	1/32	13/28779	0.07692307692307693	69.18028846153847	8.203511688708359	0.01436191428567346	0.15026447360374665	0.11812929970181282	Bysl	1
GO:0031209	SCAR complex	1/32	13/28779	0.07692307692307693	69.18028846153847	8.203511688708359	0.01436191428567346	0.15026447360374665	0.11812929970181282	Brk1	1
GO:0043240	Fanconi anaemia nuclear complex	1/32	14/28779	0.07142857142857142	64.23883928571428	7.896320139299331	0.015458362131841263	0.15026447360374665	0.11812929970181282	Fancf	1
GO:1905370	serine-type endopeptidase complex	1/32	17/28779	0.058823529411764705	52.90257352941176	7.141884803810273	0.01874062075696481	0.15026447360374665	0.11812929970181282	Spcs3	1
GO:0033276	transcription factor TFTC complex	1/32	18/28779	0.05555555555555555	49.963541666666664	6.932918809846285	0.019832349431457175	0.15026447360374665	0.11812929970181282	Taf7	1
GO:0000145	exocyst	1/32	19/28779	0.05263157894736842	47.33388157894736	6.740468334099322	0.020922901387863457	0.15026447360374665	0.11812929970181282	Rab10	1
GO:1905286	serine-type peptidase complex	1/32	19/28779	0.05263157894736842	47.33388157894736	6.740468334099322	0.020922901387863457	0.15026447360374665	0.11812929970181282	Spcs3	1
GO:0071782	endoplasmic reticulum tubular network	1/32	30/28779	0.03333333333333333	29.978125	5.298202658022866	0.03284165968263397	0.1771048821739075	0.1392296875184616	Rab10	1
