ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0003924	GTPase activity	3/30	307/28366	0.009771986970684038	9.23973941368078	4.723123696500503	0.004105244733408015	0.07841012826992351	0.045984887256045374	Rasd1/Rab10/Arl4d	3
GO:0005525	GTP binding	3/30	363/28366	0.008264462809917356	7.814325068870523	4.251641415657809	0.006532148296074995	0.07841012826992351	0.045984887256045374	Rasd1/Rab10/Arl4d	3
GO:0140098	catalytic activity, acting on RNA	3/30	374/28366	0.008021390374331552	7.584491978609626	4.1708431571364555	0.007090423657300284	0.07841012826992351	0.045984887256045374	Slfn2/Mblac1/Mrm2	3
GO:0004540	RNA nuclease activity	2/30	122/28366	0.01639344262295082	15.500546448087432	5.222565940178889	0.007376669064685499	0.07841012826992351	0.045984887256045374	Slfn2/Mblac1	2
GO:0043022	ribosome binding	2/30	122/28366	0.01639344262295082	15.500546448087432	5.222565940178889	0.007376669064685499	0.07841012826992351	0.045984887256045374	Tmem223/Slfn2	2
GO:0019001	guanyl nucleotide binding	3/30	388/28366	0.007731958762886598	7.310824742268041	4.072643529711983	0.007841012826992351	0.07841012826992351	0.045984887256045374	Rasd1/Rab10/Arl4d	3
GO:0032561	guanyl ribonucleotide binding	3/30	388/28366	0.007731958762886598	7.310824742268041	4.072643529711983	0.007841012826992351	0.07841012826992351	0.045984887256045374	Rasd1/Rab10/Arl4d	3
GO:0016668	oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor	1/30	11/28366	0.09090909090909091	85.95757575757577	9.169937541201893	0.011574351274086347	0.0900227321317827	0.05279528651337633	Txn1	1
GO:0097177	mitochondrial ribosome binding	1/30	11/28366	0.09090909090909091	85.95757575757577	9.169937541201893	0.011574351274086347	0.0900227321317827	0.05279528651337633	Tmem223	1
GO:0031005	filamin binding	1/30	16/28366	0.0625	59.09583333333333	7.563297694774582	0.01679250902671392	0.09164685302351004	0.05374777846491567	Rflnb	1
GO:0051787	misfolded protein binding	1/30	16/28366	0.0625	59.09583333333333	7.563297694774582	0.01679250902671392	0.09164685302351004	0.05374777846491567	Sdf2l1	1
GO:0004518	nuclease activity	2/30	205/28366	0.00975609756097561	9.224715447154471	3.8455328453791724	0.019796504793326855	0.09164685302351004	0.05374777846491567	Slfn2/Mblac1	2
GO:0008649	rRNA methyltransferase activity	1/30	19/28366	0.05263157894736842	49.76491228070175	6.91852389679125	0.019910610729808598	0.09164685302351004	0.05374777846491567	Mrm2	1
GO:0043021	ribonucleoprotein complex binding	2/30	206/28366	0.009708737864077669	9.179935275080906	3.833980516953589	0.019977586732777945	0.09164685302351004	0.05374777846491567	Tmem223/Slfn2	2
GO:0031489	myosin V binding	1/30	20/28366	0.05	47.27666666666667	6.7361837407298975	0.020947852119659438	0.09164685302351004	0.05374777846491567	Rab10	1
GO:0140102	catalytic activity, acting on a rRNA	1/30	20/28366	0.05	47.27666666666667	6.7361837407298975	0.020947852119659438	0.09164685302351004	0.05374777846491567	Mrm2	1
GO:0008171	O-methyltransferase activity	1/30	24/28366	0.041666666666666664	39.39722222222222	6.123122254263398	0.025086216430007857	0.09900319532447294	0.05806202432563076	Mrm2	1
GO:0031681	G-protein beta-subunit binding	1/30	25/28366	0.04	37.821333333333335	5.9930055422830115	0.026118162429129343	0.09900319532447294	0.05806202432563076	Rasd1	1
GO:0001091	RNA polymerase II general transcription initiation factor binding	1/30	26/28366	0.038461538461538464	36.36666666666667	5.870345055787247	0.027149052486894365	0.09900319532447294	0.05806202432563076	Taf7	1
GO:0046966	nuclear thyroid hormone receptor binding	1/30	29/28366	0.034482758620689655	32.60459770114942	5.540578083271611	0.03023539743981485	0.09900319532447294	0.05806202432563076	Taf7	1
GO:0035035	histone acetyltransferase binding	1/30	30/28366	0.03333333333333333	31.517777777777777	5.4416049682646745	0.03126207415495119	0.09900319532447294	0.05806202432563076	Taf7	1
GO:0140566	histone reader activity	1/30	32/28366	0.03125	29.547916666666666	5.257487080129519	0.033312276418770104	0.09900319532447294	0.05806202432563076	Taf7	1
GO:0015035	protein-disulfide reductase activity	1/30	33/28366	0.030303030303030304	28.652525252525255	5.171639407865196	0.03433580404308867	0.09900319532447294	0.05806202432563076	Txn1	1
