Anatomical_Entity_Name	Number_of_TUSCO_Genes
Universal	46
Ammon's horn	95
C1 segment of cervical spinal cord	94
Peyer's patch	58
adrenal gland	75
amygdala	99
anterior cingulate cortex	99
anterior lingual gland	102
ascending aorta	52
body of pancreas	51
breast epithelium	56
caudate nucleus	99
cerebellar hemisphere	113
cerebellum	83
coronary artery	93
cortex of kidney	91
dorsolateral prefrontal cortex	66
ectocervix	101
endocervix	96
esophagus muscularis mucosa	57
esophagus squamous epithelium	67
fallopian tube	104
fibroblast derived cell line	84
frontal cortex	54
gastrocnemius medialis	61
gastroesophageal sphincter	59
hypothalamus	112
left ventricle myocardium	65
lower leg skin	89
lymphoblast	64
multi exon	23
nucleus accumbens	100
omental fat pad	62
outer medulla of kidney	93
ovary	71
pituitary gland	113
prostate gland	85
putamen	95
right atrium auricular region	63
right lobe of liver	55
sigmoid colon	65
single exon	23
spleen	71
stomach	68
subcutaneous adipose tissue	56
substantia nigra	94
suprapubic skin	83
testis	136
thyroid gland	59
tibial artery	89
tibial nerve	61
transverse colon	55
upper lobe of left lung	58
urinary bladder	75
uterus	49
vagina	63
venous blood	60
