Anatomical_Entity_Name	Number_of_TUSCO_Genes
testis	136
cerebellar hemisphere	113
pituitary gland	113
hypothalamus	112
fallopian tube	104
anterior lingual gland	102
ectocervix	101
nucleus accumbens	100
amygdala	99
caudate nucleus	99
anterior cingulate cortex	99
endocervix	96
Ammon's horn	95
putamen	95
C1 segment of cervical spinal cord	94
substantia nigra	94
outer medulla of kidney	93
coronary artery	93
cortex of kidney	91
tibial artery	89
lower leg skin	89
prostate gland	85
fibroblast derived cell line	84
cerebellum	83
suprapubic skin	83
adrenal gland	75
urinary bladder	75
spleen	71
ovary	71
stomach	68
esophagus squamous epithelium	67
dorsolateral prefrontal cortex	66
sigmoid colon	65
left ventricle myocardium	65
lymphoblast	64
vagina	63
right atrium auricular region	63
omental fat pad	62
tibial nerve	61
gastrocnemius medialis	61
venous blood	60
thyroid gland	59
gastroesophageal sphincter	59
Peyer's patch	58
upper lobe of left lung	58
esophagus muscularis mucosa	57
breast epithelium	56
subcutaneous adipose tissue	56
transverse colon	55
right lobe of liver	55
frontal cortex	54
ascending aorta	52
body of pancreas	51
uterus	49
