Anatomical_Entity_Name	Number_of_TUSCO_Genes
Universal	36
Ammon's horn	89
C1 segment of cervical spinal cord	88
Peyer's patch	55
adrenal gland	68
amygdala	95
anterior cingulate cortex	93
anterior lingual gland	84
ascending aorta	52
body of pancreas	51
breast epithelium	54
caudate nucleus	93
cerebellar hemisphere	107
cerebellum	82
coronary artery	82
cortex of kidney	84
dorsolateral prefrontal cortex	65
ectocervix	94
endocervix	93
esophagus muscularis mucosa	56
esophagus squamous epithelium	66
fallopian tube	99
fibroblast derived cell line	81
frontal cortex	54
gastrocnemius medialis	59
gastroesophageal sphincter	58
hypothalamus	99
left ventricle myocardium	61
lower leg skin	80
lymphoblast	60
multi exon	17
nucleus accumbens	93
omental fat pad	58
outer medulla of kidney	93
ovary	68
pituitary gland	107
prostate gland	79
putamen	90
right atrium auricular region	62
right lobe of liver	55
sigmoid colon	64
single exon	19
spleen	70
stomach	66
subcutaneous adipose tissue	55
substantia nigra	89
suprapubic skin	76
testis	128
thyroid gland	55
tibial artery	83
tibial nerve	60
transverse colon	51
upper lobe of left lung	56
urinary bladder	71
uterus	49
vagina	59
venous blood	55
