GeneID	FilterReason
ENSMUSG00000095806	Expression+Alphagenome Filter
ENSMUSG00000096844	Expression+Alphagenome Filter
ENSMUSG00000060967	Expression+Alphagenome Filter
ENSMUSG00000096708	Expression+Alphagenome Filter
ENSMUSG00000034936	Passed
ENSMUSG00000096672	Expression+Alphagenome Filter
ENSMUSG00000079532	Splice/TSS Filter (Novel Splice Junction)
ENSMUSG00000095554	Expression+Alphagenome Filter
ENSMUSG00000076901	Expression+Alphagenome Filter
ENSMUSG00000078576	Expression+Alphagenome Filter
ENSMUSG00000076535	Expression+Alphagenome Filter
ENSMUSG00000048469	Expression+Alphagenome Filter
ENSMUSG00000052271	Expression+Alphagenome Filter
ENSMUSG00000062952	Expression+Alphagenome Filter
ENSMUSG00000076904	Expression+Alphagenome Filter
ENSMUSG00000094881	Expression+Alphagenome Filter
ENSMUSG00000106405	Expression+Alphagenome Filter
ENSMUSG00000044641	Expression+Alphagenome Filter
ENSMUSG00000068074	Expression+Alphagenome Filter
ENSMUSG00000112931	Expression+Alphagenome Filter
ENSMUSG00000094117	Expression+Alphagenome Filter
ENSMUSG00000092342	Expression+Alphagenome Filter
ENSMUSG00000054052	Expression+Alphagenome Filter
ENSMUSG00000025288	Expression+Alphagenome Filter
ENSMUSG00000095572	Expression+Alphagenome Filter
ENSMUSG00000035454	Splice/TSS Filter (Novel Splice Junction)
ENSMUSG00000064357	Splice/TSS Filter (TSS Mismatch)
ENSMUSG00000047667	Expression+Alphagenome Filter
ENSMUSG00000020913	Expression+Alphagenome Filter
ENSMUSG00000047564	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSMUSG00000032108	Expression+Alphagenome Filter
ENSMUSG00000076898	Expression+Alphagenome Filter
ENSMUSG00000094940	Expression+Alphagenome Filter
ENSMUSG00000076886	Expression+Alphagenome Filter
ENSMUSG00000064370	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSMUSG00000071890	Expression+Alphagenome Filter
ENSMUSG00000067684	Expression+Alphagenome Filter
ENSMUSG00000094910	Splice/TSS Filter (Novel Splice Junction)
ENSMUSG00000096568	Expression+Alphagenome Filter
ENSMUSG00000047822	Expression+Alphagenome Filter
ENSMUSG00000029375	Expression+Alphagenome Filter
ENSMUSG00000042448	Expression+Alphagenome Filter
ENSMUSG00000043485	Expression+Alphagenome Filter
ENSMUSG00000044772	Expression+Alphagenome Filter
ENSMUSG00000076916	Expression+Alphagenome Filter
ENSMUSG00000064360	Expression+Alphagenome Filter
ENSMUSG00000045954	Expression+Alphagenome Filter
ENSMUSG00000096601	Expression+Alphagenome Filter
ENSMUSG00000096188	Passed
ENSMUSG00000059251	Expression+Alphagenome Filter
ENSMUSG00000043430	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSMUSG00000094298	Expression+Alphagenome Filter
ENSMUSG00000093957	Expression+Alphagenome Filter
ENSMUSG00000069038	Expression+Alphagenome Filter
ENSMUSG00000091950	Expression+Alphagenome Filter
ENSMUSG00000036951	Splice/TSS Filter (Novel Splice Junction)
ENSMUSG00000070797	Expression+Alphagenome Filter
ENSMUSG00000094024	Expression+Alphagenome Filter
ENSMUSG00000032719	Expression+Alphagenome Filter
ENSMUSG00000058250	Splice/TSS Filter (TSS Mismatch)
ENSMUSG00000094221	Expression+Alphagenome Filter
ENSMUSG00000097638	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSMUSG00000057674	Expression+Alphagenome Filter
ENSMUSG00000037424	Expression+Alphagenome Filter
ENSMUSG00000076907	Expression+Alphagenome Filter
ENSMUSG00000050445	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSMUSG00000042200	Expression+Alphagenome Filter
ENSMUSG00000105533	Expression+Alphagenome Filter
ENSMUSG00000026285	Expression+Alphagenome Filter
ENSMUSG00000071341	Expression+Alphagenome Filter
ENSMUSG00000094755	Expression+Alphagenome Filter
ENSMUSG00000095619	Expression+Alphagenome Filter
ENSMUSG00000067199	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSMUSG00000094307	Expression+Alphagenome Filter
ENSMUSG00000079566	Splice/TSS Filter (Novel Splice Junction)
ENSMUSG00000075181	Expression+Alphagenome Filter
ENSMUSG00000121954	Expression+Alphagenome Filter
ENSMUSG00000096871	Expression+Alphagenome Filter
ENSMUSG00000046652	Expression+Alphagenome Filter
ENSMUSG00000073043	Expression+Alphagenome Filter
ENSMUSG00000059246	Expression+Alphagenome Filter
ENSMUSG00000045566	Expression+Alphagenome Filter
ENSMUSG00000022055	Expression+Alphagenome Filter
ENSMUSG00000055547	Expression+Alphagenome Filter
ENSMUSG00000110332	Expression+Alphagenome Filter
ENSMUSG00000072620	Passed
