Anatomical_Entity_Name	Number_of_TUSCO_Genes
Universal	45
Ammon's horn	147
adipose tissue	57
adrenal gland	73
adult mammalian kidney	171
animal zygote	100
aorta	90
bone element	91
bone marrow	21
brain	82
brain blood vessel	67
brown adipose tissue	21
central nervous system	79
cerebellar cortex	116
cerebellum	71
cerebral cortex	187
colon	133
cortex of kidney	172
cortical layer V	1
cortical plate	57
dentate gyrus of hippocampal formation granule cell	104
duodenum	121
ectoplacental cone	133
embryo	167
embryonic brain	126
embryonic facial prominence	168
embryonic post anal tail	88
epiblast generic	87
esophagus	182
forebrain	78
forelimb bud	112
frontal cortex	76
ganglionic eminence	79
gastrocnemius	34
gonadal fat pad	17
granular layer of cerebellar cortex	1
granulocyte	98
heart	78
heart left ventricle	69
heart right ventricle	34
hindbrain	86
hindlimb bud	106
hindlimb stylopod muscle	135
hypothalamus	157
ileum	177
intestine	245
islet of Langerhans	184
jejunum	176
kidney	92
large intestine	68
late embryo	83
left cardiac atrium	1
lens of camera type eye	113
limb	84
lip	191
liver	65
lung	119
mandibular prominence	50
maxillary prominence	48
midbrain	82
multi exon	29
multicellular organism	461
muscle tissue	137
neural tube	152
olfactory bulb	26
olfactory epithelium	88
ovary	77
pancreas	58
pineal body	54
pituitary gland	98
placenta	80
primary oocyte	81
primary visual cortex	130
proximal tubule	122
quadriceps femoris	96
retina	87
retinal neural layer	85
right cardiac atrium	1
right kidney	150
secondary oocyte	74
single exon	29
skeletal muscle tissue	114
small intestine	69
soleus muscle	50
spermatid	158
spermatocyte	136
spleen	135
stomach	95
striatum	106
subcutaneous adipose tissue	54
submandibular gland	98
superior frontal gyrus	143
telencephalon	122
testis	97
thoracic mammary gland	28
thymus	174
thyroid gland	5
tibialis anterior	45
triceps brachii	72
undifferentiated genital tubercle	97
urinary bladder	77
uterus	167
ventricular zone	76
vomeronasal organ	3
white adipose tissue	128
yolk sac	93
zone of skin	210
