Anatomical_Entity_Name	Number_of_TUSCO_Genes
multicellular organism	461
intestine	245
zone of skin	210
lip	191
cerebral cortex	187
islet of Langerhans	184
esophagus	182
ileum	177
jejunum	176
thymus	174
cortex of kidney	172
adult mammalian kidney	171
embryonic facial prominence	168
embryo	167
uterus	167
spermatid	158
hypothalamus	157
neural tube	152
right kidney	150
Ammon's horn	147
superior frontal gyrus	143
muscle tissue	137
spermatocyte	136
spleen	135
hindlimb stylopod muscle	135
colon	133
ectoplacental cone	133
primary visual cortex	130
white adipose tissue	128
embryonic brain	126
telencephalon	122
proximal tubule	122
duodenum	121
lung	119
cerebellar cortex	116
skeletal muscle tissue	114
lens of camera-type eye	113
forelimb bud	112
striatum	106
hindlimb bud	106
dentate gyrus of hippocampal formation granule cell	104
animal zygote	100
granulocyte	98
pituitary gland	98
submandibular gland	98
testis	97
undifferentiated genital tubercle	97
quadriceps femoris	96
stomach	95
yolk sac	93
kidney	92
bone element	91
aorta	90
olfactory epithelium	88
embryonic post-anal tail	88
retina	87
epiblast (generic)	87
hindbrain	86
retinal neural layer	85
limb	84
late embryo	83
brain	82
midbrain	82
primary oocyte	81
placenta	80
central nervous system	79
ganglionic eminence	79
heart	78
forebrain	78
ovary	77
urinary bladder	77
frontal cortex	76
ventricular zone	76
secondary oocyte	74
adrenal gland	73
triceps brachii	72
cerebellum	71
heart left ventricle	69
small intestine	69
large intestine	68
brain blood vessel	67
liver	65
pancreas	58
adipose tissue	57
cortical plate	57
pineal body	54
subcutaneous adipose tissue	54
soleus muscle	50
mandibular prominence	50
maxillary prominence	48
tibialis anterior	45
gastrocnemius	34
heart right ventricle	34
thoracic mammary gland	28
olfactory bulb	26
brown adipose tissue	21
bone marrow	21
gonadal fat pad	17
thyroid gland	5
vomeronasal organ	3
cortical layer V	1
granular layer of cerebellar cortex	1
left cardiac atrium	1
right cardiac atrium	1
