Anatomical_Entity_Name	Number_of_TUSCO_Genes
multicellular organism	461
intestine	245
zone of skin	210
lip	191
cerebral cortex	187
islet of Langerhans	184
esophagus	182
ileum	177
jejunum	176
cortex of kidney	172
adult mammalian kidney	171
embryonic facial prominence	168
embryo	167
uterus	167
spermatid	158
hypothalamus	157
neural tube	152
right kidney	150
Ammon's horn	147
superior frontal gyrus	143
muscle tissue	137
spermatocyte	136
hindlimb stylopod muscle	135
ectoplacental cone	133
primary visual cortex	130
white adipose tissue	128
embryonic brain	126
thymus	124
telencephalon	122
proximal tubule	122
cerebellar cortex	116
skeletal muscle tissue	114
lens of camera-type eye	113
forelimb bud	112
striatum	106
hindlimb bud	106
dentate gyrus of hippocampal formation granule cell	104
colon	102
animal zygote	100
spleen	100
granulocyte	98
pituitary gland	98
submandibular gland	98
undifferentiated genital tubercle	97
quadriceps femoris	96
yolk sac	93
duodenum	93
bone element	91
aorta	90
olfactory epithelium	88
embryonic post-anal tail	88
retina	87
epiblast (generic)	87
retinal neural layer	85
late embryo	83
primary oocyte	81
ganglionic eminence	79
lung	76
ventricular zone	76
secondary oocyte	74
triceps brachii	72
stomach	71
heart left ventricle	69
testis	68
brain blood vessel	67
limb	65
ovary	63
adrenal gland	61
urinary bladder	60
forebrain	60
frontal cortex	59
kidney	59
brain	58
hindbrain	58
cerebellum	58
midbrain	56
placenta	55
central nervous system	54
pineal body	54
small intestine	51
soleus muscle	50
mandibular prominence	50
large intestine	49
heart	48
maxillary prominence	48
adipose tissue	47
cortical plate	46
tibialis anterior	45
subcutaneous adipose tissue	43
liver	40
heart right ventricle	34
pancreas	29
thoracic mammary gland	28
gastrocnemius	26
brown adipose tissue	19
olfactory bulb	17
bone marrow	16
gonadal fat pad	16
thyroid gland	5
vomeronasal organ	3
cortical layer V	1
granular layer of cerebellar cortex	1
left cardiac atrium	1
right cardiac atrium	1
