ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:1990841	promoter-specific chromatin binding	2/38	68/18639	0.029411764705882353	14.426470588235295	5.013280236119387	0.008470884285869626	0.33268012685058346	0.31769778798536463	NDN/EGR1	2
GO:0070097	delta-catenin binding	1/38	10/18639	0.1	49.050000000000004	6.869449358741844	0.020206167243223327	0.33268012685058346	0.31769778798536463	CCDC85B	1
GO:0140031	phosphorylation-dependent protein binding	1/38	11/18639	0.09090909090909091	44.59090909090909	6.536307267869893	0.022204780461579365	0.33268012685058346	0.31769778798536463	YWHAG	1
GO:0019855	calcium channel inhibitor activity	1/38	13/18639	0.07692307692307693	37.73076923076923	5.987771324319311	0.026190105290593735	0.33268012685058346	0.31769778798536463	SLC30A1	1
GO:0047372	monoacylglycerol lipase activity	1/38	15/18639	0.06666666666666667	32.699999999999996	5.551261883751795	0.03015961238574627	0.33268012685058346	0.31769778798536463	ABHD15	1
GO:0005159	insulin-like growth factor receptor binding	1/38	16/18639	0.0625	30.65625	5.363826349921594	0.03213845338281163	0.33268012685058346	0.31769778798536463	YWHAG	1
GO:0031681	G-protein beta-subunit binding	1/38	23/18639	0.043478260869565216	21.32608695652174	4.40857077866393	0.045880681797403455	0.33268012685058346	0.31769778798536463	GNG11	1
GO:0140103	catalytic activity, acting on a glycoprotein	1/38	23/18639	0.043478260869565216	21.32608695652174	4.40857077866393	0.045880681797403455	0.33268012685058346	0.31769778798536463	B3GALT6	1
GO:0035035	histone acetyltransferase binding	1/38	24/18639	0.041666666666666664	20.4375	4.306632491081787	0.047828282468422856	0.33268012685058346	0.31769778798536463	EGR1	1
GO:0030247	polysaccharide binding	1/38	26/18639	0.038461538461538464	18.865384615384617	4.120160756966863	0.051711877884808244	0.33268012685058346	0.31769778798536463	STBD1	1
GO:0051139	metal cation:proton antiporter activity	1/38	26/18639	0.038461538461538464	18.865384615384617	4.120160756966863	0.051711877884808244	0.33268012685058346	0.31769778798536463	SLC30A1	1
