ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
REACTOME_PROTEIN_REPAIR	Protein repair	1/10	6/9191	0.16666666666666666	153.18333333333334	12.30597133893352	0.006512160985842508	0.16866070261523106	0.128221586783509	Txn1	1
REACTOME_THE_NLRP3_INFLAMMASOME	The NLRP3 inflammasome	1/10	10/9191	0.1	91.91	9.492474213992516	0.010832371380247063	0.16866070261523106	0.128221586783509	Txn1	1
REACTOME_INFLAMMASOMES	Inflammasomes	1/10	14/9191	0.07142857142857142	65.65	7.989046393984321	0.015135666513198642	0.16866070261523106	0.128221586783509	Txn1	1
REACTOME_MAJOR_PATHWAY_OF_RRNA_PROCESSING_IN_THE_NUCLEOLUS_AND_CYTOSOL	Major pathway of rRNA processing in the nucleolus and cytosol	2/10	181/9191	0.011049723756906077	10.155801104972374	4.105688570776774	0.015643056883246378	0.16866070261523106	0.128221586783509	Bysl/Rps27rt	2
REACTOME_SYNTHESIS_SECRETION_AND_DEACYLATION_OF_GHRELIN	Synthesis, secretion, and deacylation of Ghrelin	1/10	15/9191	0.06666666666666667	61.27333333333333	7.710044759088628	0.016208854192709232	0.16866070261523106	0.128221586783509	Spcs3	1
REACTOME_RHO_GTPASE_EFFECTORS	RHO GTPase Effectors	2/10	245/9191	0.00816326530612245	7.502857142857144	3.404752681826748	0.027654595324581616	0.16866070261523106	0.128221586783509	Rps27rt/Brk1	2
REACTOME_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES	Interconversion of nucleotide di- and triphosphates	1/10	28/9191	0.03571428571428571	32.825	5.565976222348178	0.030064840493404965	0.16866070261523106	0.128221586783509	Txn1	1
REACTOME_OVARIAN_TUMOR_DOMAIN_PROTEASES	Ovarian tumor domain proteases	1/10	33/9191	0.030303030303030304	27.85151515151515	5.0996246185299094	0.035347123877037645	0.16866070261523106	0.128221586783509	Vcpip1	1
REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES	RHO GTPases Activate WASPs and WAVEs	1/10	33/9191	0.030303030303030304	27.85151515151515	5.0996246185299094	0.035347123877037645	0.16866070261523106	0.128221586783509	Brk1	1
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES	Detoxification of Reactive Oxygen Species	1/10	35/9191	0.02857142857142857	26.259999999999998	4.941140901379568	0.037452777555443406	0.16866070261523106	0.128221586783509	Txn1	1
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	Transcriptional Regulation by TP53	2/10	298/9191	0.006711409395973154	6.168456375838926	2.993350708506388	0.039700843290117374	0.16866070261523106	0.128221586783509	Taf7/Txn1	2
REACTOME_FANCONI_ANEMIA_PATHWAY	Fanconi Anemia Pathway	1/10	38/9191	0.02631578947368421	24.186842105263157	4.726769600318919	0.04060350248144451	0.16866070261523106	0.128221586783509	Fancf	1
REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE	Oxidative Stress Induced Senescence	1/10	38/9191	0.02631578947368421	24.186842105263157	4.726769600318919	0.04060350248144451	0.16866070261523106	0.128221586783509	Txn1	1
REACTOME_RNA_POLYMERASE_II_PROMOTER_ESCAPE	RNA Polymerase II Promoter Escape	1/10	45/9191	0.022222222222222223	20.424444444444443	4.310741959571672	0.0479191275405737	0.17495155893263903	0.13300410913007646	Taf7	1
REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	1/10	46/9191	0.021739130434782608	19.980434782608693	4.258983714972453	0.048960108157739324	0.17495155893263903	0.13300410913007646	Txn1	1
REACTOME_RHOD_GTPASE_CYCLE	RHOD GTPase cycle	1/10	51/9191	0.0196078431372549	18.021568627450982	4.022761937747249	0.05414966203159555	0.17495155893263903	0.13300410913007646	Efhd2	1
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	1/10	60/9191	0.016666666666666666	15.318333333333333	3.6721607510710417	0.06342667378663425	0.17495155893263903	0.13300410913007646	Rps27rt	1
REACTOME_PEPTIDE_HORMONE_METABOLISM	Peptide hormone metabolism	1/10	61/9191	0.01639344262295082	15.0672131147541	3.637896656569094	0.06445238107632145	0.17495155893263903	0.13300410913007646	Spcs3	1
REACTOME_RAB_GERANYLGERANYLATION	RAB geranylgeranylation	1/10	62/9191	0.016129032258064516	14.824193548387097	3.6044317686765757	0.0654770772635328	0.17495155893263903	0.13300410913007646	Rab10	1
REACTOME_PKR_MEDIATED_SIGNALING	PKR-mediated signaling	1/10	65/9191	0.015384615384615385	14.14	3.5085249828910228	0.06854510806748759	0.17495155893263903	0.13300410913007646	Fancf	1
REACTOME_RHO_GTPASE_CYCLE	RHO GTPase cycle	2/10	420/9191	0.004761904761904762	4.376666666666667	2.337766023045119	0.07353220975289454	0.17495155893263903	0.13300410913007646	Efhd2/Brk1	2
REACTOME_TP53_REGULATES_METABOLIC_GENES	TP53 Regulates Metabolic Genes	1/10	72/9191	0.013888888888888888	12.765277777777778	3.3075589072838314	0.07566862309613154	0.17495155893263903	0.13300410913007646	Txn1	1
REACTOME_RNA_POLYMERASE_II_PRE_TRANSCRIPTION_EVENTS	RNA Polymerase II Pre-transcription Events	1/10	77/9191	0.012987012987012988	11.936363636363637	3.1803619920682955	0.080726788679297945	0.17495155893263903	0.13300410913007646	Taf7	1
REACTOME_RAC2_GTPASE_CYCLE	RAC2 GTPase cycle	1/10	85/9191	0.011764705882352941	10.812941176470588	2.999560302686358	0.0887680546465609	0.17495155893263903	0.13300410913007646	Brk1	1
REACTOME_RAB_GEFS_EXCHANGE_GTP_FOR_GDP_ON_RABS	RAB GEFs exchange GTP for GDP on RABs	1/10	89/9191	0.011235955056179775	10.32696629213483	2.917962840399726	0.09276489915102604	0.17495155893263903	0.13300410913007646	Rab10	1
REACTOME_RAC3_GTPASE_CYCLE	RAC3 GTPase cycle	1/10	91/9191	0.01098901098901099	10.100000000000001	2.8790827954689377	0.09475739863993349	0.17495155893263903	0.13300410913007646	Brk1	1
