pipeline	eval_type	sample	species	label	metric	n	mean	sd	median	q1	q3	iqr
bambu_sq3	novel_evl	es_captrap_ont	mouse	TP	isoform_cov	13	0.784051936363162	0.296585592038054	0.984060984060984	0.532101756511205	0.992210040392383	0.460108283881178
bambu_sq3	novel_evl	es_captrap_ont	mouse	PTP	isoform_cov	3	0.470059711259992	0.327576055643604	0.529971455756423	0.323317202337279	0.64675809243092	0.323440890093641
bambu_sq3	novel_evl	es_captrap_pacbio	mouse	PTP	isoform_cov	5	0.494896463523909	0.225146994584625	0.539234793312135	0.529971455756423	0.566424494032174	0.0364530382757519
bambu_sq3	novel_evl	es_captrap_pacbio	mouse	TP	isoform_cov	13	0.881060491035173	0.222884895834532	0.9853228962818	0.918303444349559	0.996537795729948	0.0782343513803893
bambu_sq3	novel_evl	es_cdna_ont	mouse	TP	isoform_cov	12	0.890645541100519	0.231355020111307	0.989331488558782	0.967130146305471	0.996126740715921	0.0289965944104499
bambu_sq3	novel_evl	es_cdna_ont	mouse	PTP	isoform_cov	3	0.408803856017658	0.254728605423337	0.546146527117031	0.330512478370026	0.555766569214977	0.225254090844951
bambu_sq3	novel_evl	es_cdna_pacbio	mouse	TP	isoform_cov	19	0.906975247674969	0.209140503251129	0.995383727639931	0.981341886440546	1.00111532455945	0.0197734381189005
bambu_sq3	novel_evl	es_cdna_pacbio	mouse	PTP	isoform_cov	4	0.774048496947692	0.197451549086446	0.793443413291774	0.634677256493803	0.932814653745663	0.29813739725186
bambu_sq3	novel_evl	es_drna_ont	mouse	TP	isoform_cov	16	0.781769220115615	0.310455789566558	0.970810051515006	0.530110539067232	0.988294058115622	0.458183519048391
bambu_sq3	novel_evl	es_drna_ont	mouse	PTP	isoform_cov	7	0.712463241484985	0.307976485293578	0.847008019740901	0.595551620840014	0.93518022662949	0.339628605789476
bambu_sq3	novel_evl	wtc11_captrap_ont	human	TP	isoform_cov	10	0.670906718821271	0.361941199013008	0.795383344406538	0.333426993864191	0.999790004199916	0.666363010335725
bambu_sq3	novel_evl	wtc11_captrap_ont	human	PTP	isoform_cov	2	0.601653917828474	0.460469596640986	0.601653917828474	0.438853330670936	0.764454504986012	0.325601174315076
bambu_sq3	novel_evl	wtc11_captrap_pacbio	human	TP	isoform_cov	9	0.642728919249055	0.368908283968255	0.669804489500362	0.32129844319311	1	0.67870155680689
bambu_sq3	novel_evl	wtc11_captrap_pacbio	human	PTP	isoform_cov	3	0.849545257480637	0.117670779477889	0.907216494845361	0.81069034014918	0.917235793494455	0.106545453345276
bambu_sq3	novel_evl	wtc11_cdna_ont	human	TP	isoform_cov	9	0.68832526049982	0.370809453302732	0.915807560137457	0.303080490228553	1	0.696919509771448
bambu_sq3	novel_evl	wtc11_cdna_ont	human	PTP	isoform_cov	3	0.593254503225948	0.314603008265314	0.549978732454275	0.426254208767148	0.738616912298912	0.312362703531765
bambu_sq3	novel_evl	wtc11_cdna_pacbio	human	TP	isoform_cov	17	0.866658879596995	0.304320099223841	0.999086757990868	0.978833561748135	1.0022060071271	0.0233724453789653
bambu_sq3	novel_evl	wtc11_cdna_pacbio	human	PTP	isoform_cov	1	1.02941176470588		1.02941176470588	1.02941176470588	1.02941176470588	0
bambu_sq3	novel_evl	wtc11_drna_ont	human	TP	isoform_cov	15	0.836996500392628	0.333486444598417	0.992961876832845	0.812019279818648	0.996170207601328	0.18415092778268
bambu_sq3	ref_evl	es_captrap_ont	mouse	TP	isoform_cov	25	1	0	1	1	1	0
