gene_id	distance_to_reftss
ENSG00000241563	0
ENSG00000215906	0
ENSG00000185668	0
ENSG00000143125	0
ENSG00000159450	0
ENSG00000215853	0
ENSG00000143631	0
ENSG00000143520	0
ENSG00000186207	0
ENSG00000185966	0
ENSG00000163202	0
ENSG00000172155	0
ENSG00000163207	0
ENSG00000169469	0
ENSG00000203784	0
ENSG00000203783	0
ENSG00000132703	0
ENSG00000173110	0
ENSG00000170128	0
ENSG00000162771	0
ENSG00000116903	0
ENSG00000214513	0
ENSG00000128709	0
ENSG00000196659	0
ENSG00000163501	0
ENSG00000145040	0
ENSG00000228672	0
ENSG00000260286	0
ENSG00000124610	0
ENSG00000187475	0
ENSG00000274618	0
ENSG00000276368	0
ENSG00000184357	0
ENSG00000274641	0
ENSG00000204511	0
ENSG00000204388	0
ENSG00000180872	0
ENSG00000203908	0
ENSG00000256162	0
ENSG00000146399	0
ENSG00000229937	0
ENSG00000105954	0
ENSG00000164645	0
ENSG00000170775	0
ENSG00000128617	0
ENSG00000164825	0
ENSG00000176782	0
ENSG00000171711	0
ENSG00000164736	0
ENSG00000126233	0
ENSG00000171855	0
ENSG00000120242	0
ENSG00000205108	0
ENSG00000170835	0
ENSG00000184709	0
ENSG00000197191	0
ENSG00000188986	0
ENSG00000178363	0
ENSG00000263761	0
ENSG00000148734	0
ENSG00000227268	0
ENSG00000204010	0
ENSG00000120057	0
ENSG00000188816	0
ENSG00000229544	0
ENSG00000206013	0
ENSG00000168515	0
ENSG00000179292	0
ENSG00000184344	0
ENSG00000170454	0
ENSG00000185479	0
ENSG00000185069	0
ENSG00000283536	0
ENSG00000123307	0
ENSG00000111537	0
ENSG00000139352	0
ENSG00000180730	0
ENSG00000178695	0
ENSG00000168348	0
ENSG00000119614	0
ENSG00000182405	0
ENSG00000255192	0
ENSG00000171989	0
ENSG00000162068	0
ENSG00000166152	0
ENSG00000258429	0
ENSG00000212900	0
ENSG00000221852	0
ENSG00000198090	0
ENSG00000204873	0
ENSG00000187272	0
ENSG00000166329	0
ENSG00000121053	0
ENSG00000188305	0
ENSG00000088782	0
ENSG00000186458	0
ENSG00000173404	0
ENSG00000101441	0
ENSG00000101438	0
ENSG00000204103	0
ENSG00000169548	0
ENSG00000198173	0
ENSG00000189037	0
ENSG00000189401	0
ENSG00000184210	0
ENSG00000183631	0
ENSG00000198573	0
ENSG00000203926	0
ENSG00000203923	0
ENSG00000198681	0
ENSG00000129862	0
ENSG00000280969	0
ENSG00000237330	1
ENSG00000169717	1
ENSG00000183888	1
ENSG00000187140	1
ENSG00000263353	1
ENSG00000288867	1
ENSG00000183598	1
ENSG00000203852	1
ENSG00000182898	1
ENSG00000197915	1
ENSG00000143536	1
ENSG00000187223	1
ENSG00000187180	1
ENSG00000187173	1
ENSG00000240386	1
ENSG00000283227	1
ENSG00000241794	1
ENSG00000203782	1
ENSG00000143185	1
ENSG00000232113	1
ENSG00000162783	1
ENSG00000244020	1
ENSG00000162722	1
ENSG00000143878	1
ENSG00000221843	1
ENSG00000138083	1
ENSG00000214336	1
ENSG00000274286	1
ENSG00000198142	1
ENSG00000152086	1
ENSG00000177519	1
ENSG00000217236	1
ENSG00000170166	1
ENSG00000170396	1
ENSG00000138379	1
ENSG00000168582	1
ENSG00000163464	1
ENSG00000221944	1
ENSG00000138483	1
ENSG00000239620	1
ENSG00000179674	1
ENSG00000157005	1
ENSG00000185112	1
ENSG00000178597	1
ENSG00000186146	1
ENSG00000174145	1
ENSG00000181617	1
ENSG00000109208	1
ENSG00000138755	1
ENSG00000172238	1
ENSG00000151615	1
ENSG00000169271	1
ENSG00000169067	1
ENSG00000164399	1
ENSG00000182700	1
ENSG00000171815	1
ENSG00000120329	1
ENSG00000170613	1
ENSG00000164379	1
ENSG00000219607	1
ENSG00000286522	1
ENSG00000277224	1
ENSG00000196747	1
ENSG00000197238	1
ENSG00000204542	1
ENSG00000204538	1
ENSG00000204424	1
ENSG00000237541	1
ENSG00000170950	1
ENSG00000177684	1
ENSG00000112115	1
ENSG00000198225	1
ENSG00000182747	1
ENSG00000177468	1
ENSG00000074771	1
ENSG00000120436	1
ENSG00000255690	1
ENSG00000253276	1
ENSG00000272899	1
ENSG00000159763	1
ENSG00000271321	1
ENSG00000170279	1
ENSG00000177257	1
ENSG00000186562	1
ENSG00000186579	1
ENSG00000171056	1
ENSG00000223443	1
ENSG00000177669	1
ENSG00000180828	1
ENSG00000253117	1
ENSG00000228083	1
ENSG00000197919	1
ENSG00000176399	1
ENSG00000196196	1
ENSG00000180447	1
ENSG00000178919	1
ENSG00000125492	1
ENSG00000177283	1
ENSG00000188100	1
ENSG00000120055	1
ENSG00000185933	1
ENSG00000150594	1
ENSG00000286135	1
ENSG00000070031	1
ENSG00000215182	1
ENSG00000183734	1
ENSG00000184350	1
ENSG00000180878	1
ENSG00000254598	1
ENSG00000189431	1
ENSG00000129152	1
ENSG00000109851	1
ENSG00000052850	1
ENSG00000214872	1
ENSG00000214782	1
ENSG00000204950	1
ENSG00000124939	1
ENSG00000124935	1
ENSG00000174804	1
ENSG00000110244	1
ENSG00000154143	1
ENSG00000130037	1
ENSG00000174236	1
ENSG00000188375	1
ENSG00000139223	1
ENSG00000125084	1
ENSG00000284791	1
ENSG00000170426	1
ENSG00000111536	1
ENSG00000111049	1
ENSG00000139330	1
ENSG00000169840	1
ENSG00000125255	1
ENSG00000186009	1
ENSG00000169397	1
ENSG00000222028	1
ENSG00000184302	1
ENSG00000165553	1
ENSG00000185823	1
ENSG00000198535	1
ENSG00000284395	1
ENSG00000213937	1
ENSG00000175646	1
ENSG00000205899	1
ENSG00000184811	1
ENSG00000214978	1
ENSG00000172156	1
ENSG00000108700	1
ENSG00000167916	1
ENSG00000186393	1
ENSG00000221880	1
ENSG00000188581	1
ENSG00000240871	1
ENSG00000204880	1
ENSG00000213416	1
ENSG00000171396	1
ENSG00000196156	1
ENSG00000244537	1
ENSG00000198443	1
ENSG00000108417	1
ENSG00000197079	1
ENSG00000260325	1
ENSG00000180340	1
ENSG00000183691	1
ENSG00000182459	1
ENSG00000166603	1
ENSG00000099822	1
ENSG00000141965	1
ENSG00000160396	1
ENSG00000008438	1
ENSG00000177202	1
ENSG00000104827	1
ENSG00000142408	1
ENSG00000242019	1
ENSG00000269855	1
ENSG00000125903	1
ENSG00000125878	1
ENSG00000101405	1
ENSG00000171864	1
ENSG00000173335	1
ENSG00000170369	1
ENSG00000288649	1
ENSG00000168703	1
ENSG00000101446	1
ENSG00000124216	1
ENSG00000130701	1
ENSG00000203883	1
ENSG00000188694	1
ENSG00000197683	1
ENSG00000186971	1
ENSG00000184351	1
ENSG00000186977	1
ENSG00000234289	1
ENSG00000212935	1
ENSG00000130943	1
ENSG00000126010	1
ENSG00000185915	1
ENSG00000223611	1
ENSG00000120289	1
ENSG00000189132	1
ENSG00000187516	1
ENSG00000273820	1
ENSG00000224109	1
ENSG00000196468	1
ENSG00000123569	1
ENSG00000203989	1
ENSG00000131721	1
ENSG00000182890	1
ENSG00000198354	1
ENSG00000123165	1
ENSG00000102239	1
ENSG00000165370	1
ENSG00000198021	1
ENSG00000235699	1
ENSG00000225110	1
ENSG00000288722	1
ENSG00000288709	1
ENSG00000184895	1
ENSG00000129864	1
ENSG00000044012	2
ENSG00000186790	2
ENSG00000162399	2
ENSG00000203811	2
ENSG00000288825	2
ENSG00000184260	2
ENSG00000171786	2
ENSG00000162763	2
ENSG00000120337	2
ENSG00000203730	2
ENSG00000178021	2
ENSG00000144015	2
ENSG00000118231	2
ENSG00000163254	2
ENSG00000124003	2
ENSG00000163286	2
ENSG00000183396	2
ENSG00000169860	2
ENSG00000240045	2
