# Generated from step7_final_filtered_mapping.tsv and step7_final_filtered.gtf.gz
# Single-exon genes: 14
ENSMUSG00000070583	ENSMUST00000094481	Fv1	14349	NM_010244	NP_034374
ENSMUSG00000048087	ENSMUST00000059524	Ahcyl	11615	NM_001304528	NP_001291457
ENSMUSG00000076621	ENSMUST00000103430	Ighj1			
ENSMUSG00000048355	ENSMUST00000057625	Arxes1	76219	NM_029541	NP_083817
ENSMUSG00000047654	ENSMUST00000050373	Tssk6	83984	NM_032004	NP_114393
ENSMUSG00000051242	ENSMUST00000057228	Pcdhb9	93880	NM_053134	NP_444364
ENSMUSG00000041378	ENSMUST00000043577	Cldn5	12741	NM_013805	NP_038833
ENSMUSG00000066720	ENSMUST00000085989	Cldn9	56863	NM_020293	NP_064689
ENSMUSG00000050621	ENSMUST00000053150	Rps27rt	100043813	NM_001190258	NP_001177187
ENSMUSG00000091736	ENSMUST00000065806	Yy2	100073351	NM_001098723	NP_001092193
ENSMUSG00000092118	ENSMUST00000169357	Fancf	100040608	NM_001115087	NP_001108559
ENSMUSG00000049285	ENSMUST00000057773	Mblac1	330216	NM_177878	NP_808546
ENSMUSG00000032593	ENSMUST00000085060	Amigo3	320844	NM_177275	NP_796249
ENSMUSG00000078202	ENSMUST00000104999	Nrarp	67122	NM_025980	NP_080256
